#{"t_start": 1748479433.0554981, "env_id": "MountainCarContinuous-v0"}
r,l,t
-5.146159,999,0.491153
-6.31959,999,0.852345
-19.320837,999,1.280075
-31.606901,999,1.63482
-40.498783,999,1.988142
-47.565268,999,2.440399
-52.135549,999,2.789108
-54.613121,999,3.260331
-56.696285,999,3.620867
-57.506352,999,3.994321
-58.11864,999,4.386162
-59.290615,999,4.756953
-59.185753,999,5.134422
-58.55619,999,5.558422
-59.066181,999,5.911845
-59.770633,999,6.306948
-59.447889,999,6.723025
-60.758961,999,7.094513
-58.992558,999,7.571936
-59.453008,999,7.880638
-58.988267,999,8.317618
-59.00638,999,8.694893
-57.078674,999,9.094551
-57.686561,999,9.510708
-55.654678,999,9.905906
-54.168599,999,10.348169
-53.250974,999,10.698755
-50.638786,999,11.117897
-47.617756,999,11.468274
-45.779017,999,11.825988
-40.576946,999,12.298918
-34.648513,999,12.663478
-28.32206,999,13.052023
-20.612258,999,13.424031
-13.146433,999,13.79464
-6.576269,999,14.199719
-2.107955,999,14.557493
-1.242301,999,14.953137
-4.611528,999,15.344898
-10.900092,999,15.74618
-16.195898,999,16.120214
-19.603276,999,16.494068
-22.196926,999,16.874477
-24.831645,999,17.28075
-27.33933,999,17.634783
-29.381276,999,17.992283
-30.805301,999,18.368093
-31.980416,999,18.808056
-32.636446,999,19.239426
-32.56651,999,19.608823
-32.784501,999,20.040127
-31.712469,999,20.407772
-30.923175,999,20.773179
-29.221719,999,21.144872
-26.902696,999,21.519905
-25.152511,999,21.887311
-23.767019,999,22.305522
-21.347925,999,22.676437
-19.887401,999,23.05345
-17.801564,999,23.448377
-15.846091,999,23.795111
-14.306795,999,24.164298
-12.663549,999,24.534252
-11.264392,999,24.908963
-9.810712,999,25.365539
-8.69654,999,25.714242
-7.465296,999,26.160932
-6.001934,999,26.513258
-5.057857,999,26.888771
-4.114885,999,27.270266
-3.523759,999,27.741185
-2.665791,999,28.275106
-2.203938,999,28.725558
-1.689614,999,29.1355
-1.286586,999,29.483136
-1.11016,999,29.872808
-0.931407,999,30.268703
-0.969552,999,30.624752
-1.17407,999,31.002049
-1.354853,999,31.413424
-1.691335,999,31.811107
-2.263624,999,32.211549
-2.874017,999,32.602866
-3.748972,999,32.95155
-4.408699,999,33.333644
-5.289847,999,33.713791
-6.385186,999,34.129153
-7.322265,999,34.471889
-8.5132,999,34.912545
-9.478816,999,35.300566
-10.827629,999,35.678746
-12.169587,999,36.110974
-13.487172,999,36.532302
-14.218159,999,36.95601
-15.920433,999,37.414008
-16.548778,999,37.794284
-17.869521,999,38.150117
-19.517837,999,38.50937
-20.247698,999,38.889373
-21.41583,999,39.275187
-21.821923,999,39.655727
-22.834922,999,40.075135
-23.215262,999,40.447856
-24.263366,999,40.828533
-25.061859,999,41.224709
-25.041245,999,41.594141
-25.454035,999,41.979058
-25.797246,999,42.403892
-26.4987,999,42.780147
-26.554043,999,43.142095
-26.513177,999,43.520413
-26.806692,999,43.909658
-26.874531,999,44.331682
-26.48924,999,44.738086
-26.972516,999,45.141881
-26.26897,999,45.548878
-26.00754,999,45.931393
-26.236237,999,46.289388
-26.357096,999,46.668988
-25.218815,999,47.044995
-24.85363,999,47.448191
-24.51409,999,47.874527
-23.778623,999,48.31301
-23.691385,999,48.674987
-22.630738,999,49.026446
-21.878799,999,49.433489
-21.125539,999,49.79352
-20.955066,999,50.204992
-20.740538,999,50.602209
-19.883508,999,51.003518
-18.915645,999,51.616425
-18.362299,999,52.199902
-17.216545,999,52.751667
-16.415323,999,53.359115
-15.674217,999,54.227512
-14.826618,999,54.696225
-14.198908,999,55.216234
-13.455831,999,55.639512
-12.895221,999,56.028564
-12.025932,999,56.492357
-11.224159,999,57.036866
-10.699299,999,57.458264
-9.896225,999,57.936968
-9.652151,999,58.346071
-8.760707,999,58.787212
-8.179381,999,59.212849
-7.732197,999,59.60713
-7.101475,999,60.003856
-6.518296,999,60.479406
-6.294731,999,60.866903
