#{"t_start": 1748482181.2251468, "env_id": "MountainCarContinuous-v0"}
r,l,t
-7.017258,999,0.99386
-13.796406,999,1.369032
-36.144506,999,1.738495
-55.495753,999,2.071676
-66.2878,999,2.335018
-68.483328,999,2.606739
-65.905231,999,2.905838
-59.880861,999,3.179476
-46.066364,999,3.456479
-33.825684,999,3.760718
-18.542247,999,4.171478
-8.74679,999,4.457434
-4.497667,999,4.808747
-4.515713,999,5.135405
-7.000914,999,5.400041
-9.593503,999,5.673631
-11.242062,999,6.070334
-15.085913,999,6.328474
-17.583853,999,6.596316
-20.443083,999,6.90002
-23.379447,999,7.257784
-26.478322,999,7.541356
-28.690589,999,7.864219
-29.930426,999,8.140287
-31.224353,999,8.398903
-32.408371,999,8.658632
-33.085153,999,8.966098
-33.352457,999,9.250093
-32.134109,999,9.555506
-32.438273,999,9.877199
-30.850298,999,10.166818
-29.381663,999,10.487865
-29.846244,999,10.787684
-27.350236,999,11.081722
-26.241246,999,11.371112
-23.533063,999,11.859309
-23.175061,999,12.140301
-20.49111,999,12.446964
-18.637027,999,12.728657
-16.042757,999,13.059483
-14.67597,999,13.361468
-12.884343,999,13.632934
-10.127107,999,14.050512
-9.047477,999,14.405524
-8.331544,999,14.764084
-6.844652,999,15.12413
-5.974513,999,15.630946
-5.811427,999,15.986133
-5.312753,999,16.423475
-4.996523,999,16.903202
-4.964593,999,17.27679
-4.732966,999,17.943695
-4.345253,999,18.485577
-4.235661,999,18.761147
-3.957658,999,19.043403
-4.332049,999,19.476839
-3.987568,999,20.080524
-4.592198,999,20.51476
-4.159075,999,20.921166
-4.140363,999,21.396721
-4.295228,999,21.785917
-4.435685,999,22.072516
-4.605247,999,22.38969
-4.356508,999,22.646199
-4.586723,999,22.911983
-4.263844,999,23.180253
-4.624973,999,23.476853
-4.559936,999,23.85198
-4.224784,999,24.260139
-4.263948,999,24.623943
-4.492896,999,24.932696
-4.249291,999,25.195814
-4.664794,999,25.742986
-4.563706,999,26.231952
-4.635708,999,26.62161
-4.316144,999,26.920163
-4.445949,999,27.184994
-4.371264,999,27.449283
-4.074405,999,27.904533
-4.075266,999,28.303772
-4.218722,999,28.670295
-4.097972,999,28.959797
-4.07755,999,29.235037
-4.21193,999,29.558599
-4.010928,999,29.846041
-3.868467,999,30.125577
-3.963964,999,30.730616
-3.8205,999,31.160006
-3.674295,999,31.469479
-3.822015,999,31.888732
-3.801482,999,32.274577
