#{"t_start": 1748480232.0542114, "env_id": "MountainCarContinuous-v0"}
r,l,t
-11.977557,999,0.484181
-9.237392,999,0.974273
-9.738226,999,1.545951
-10.316381,999,2.177987
-10.32304,999,2.633941
-11.93655,999,3.147103
-11.55584,999,3.580515
-11.354387,999,4.179858
-12.207059,999,4.700819
-10.792653,999,5.258161
-10.796222,999,5.752375
-9.138778,999,6.101681
-9.804444,999,6.570607
-8.949466,999,7.022449
-8.991794,999,7.619601
-9.113338,999,8.062459
-8.748597,999,8.534033
-8.853453,999,9.151863
-9.69542,999,9.685678
-9.436532,999,10.272673
-9.420222,999,10.781574
-9.652555,999,11.246743
-9.44254,999,11.720436
-8.811709,999,12.122406
-9.116988,999,12.6199
-9.119229,999,13.073786
-9.114174,999,13.57845
-9.087318,999,14.0338
-9.205243,999,14.510041
-9.168509,999,15.041372
-9.070659,999,15.5622
-8.85206,999,16.083974
-8.942927,999,16.580923
-8.901067,999,17.104488
-9.180655,999,17.801517
-9.224538,999,18.384181
-8.657957,999,18.836077
-9.136409,999,19.290519
-8.835157,999,19.829473
-9.736012,999,20.317359
-9.08357,999,20.757541
-8.626854,999,21.360929
-8.931648,999,21.900465
-9.249736,999,22.391025
-9.943254,999,22.810615
-9.672975,999,23.388176
-9.002216,999,24.059291
-8.663406,999,24.470808
-9.180021,999,24.885323
-9.42847,999,25.399738
-8.293353,999,25.830012
-9.183383,999,26.301411
-8.141771,999,26.719276
-9.026127,999,27.214685
-8.822317,999,27.789005
-9.284605,999,28.320729
-9.704861,999,28.880164
-8.429229,999,29.219098
-9.653957,999,29.783073
-8.851708,999,30.350248
-9.177493,999,31.130179
-8.478171,999,31.542634
-9.497237,999,32.013975
-8.926946,999,32.562482
-8.773092,999,32.932139
-8.605813,999,33.413641
-9.421219,999,33.944243
-9.699601,999,34.465441
-9.288598,999,34.848585
-8.755325,999,35.348377
-9.337215,999,36.029376
-9.150069,999,36.528179
-9.065626,999,36.961766
-9.25071,999,37.468197
-9.042768,999,37.983253
-9.35621,999,38.433378
-9.488848,999,38.902874
-9.038297,999,39.45934
-8.98594,999,39.948297
-9.360687,999,40.409751
-8.864465,999,41.029538
-9.450752,999,41.47382
-9.378681,999,42.055818
-9.301535,999,42.526757
-8.920489,999,43.045177
-9.332696,999,43.465379
-8.882037,999,44.049828
-8.3557,999,44.610293
-9.849912,999,45.233076
-8.860665,999,45.581636
-8.643312,999,46.077927
-9.274963,999,46.609405
-9.515266,999,46.952544
-8.733363,999,47.465027
-9.369361,999,47.918498
-8.568458,999,48.359253
-9.048383,999,49.04762
-9.080015,999,49.443587
-9.26287,999,49.906628
-8.634951,999,50.463156
-8.820889,999,50.885835
-9.308632,999,51.414075
-8.838938,999,51.860055
-8.635844,999,52.325515
-9.762369,999,52.880925
-8.698732,999,53.403621
-9.743418,999,53.764782
-8.405159,999,54.416895
-9.403338,999,54.813076
-8.358334,999,55.225093
-8.48575,999,55.613596
-9.730979,999,56.140336
-8.704442,999,56.626549
-9.358658,999,57.180668
-9.362381,999,57.772433
-8.418296,999,58.296623
-9.661876,999,58.948001
-8.581653,999,59.318
-9.403334,999,59.759835
-9.71948,999,60.163055
-8.367832,999,60.700355
-8.992194,999,61.114399
-9.197806,999,61.759862
-9.078467,999,62.260702
-9.167061,999,62.703457
-8.948987,999,63.170521
-8.856505,999,63.762289
-9.123793,999,64.300607
-8.979603,999,64.730319
-8.323336,999,65.285346
-9.470747,999,65.722198
-9.170864,999,66.213898
-8.507806,999,66.797435
-8.805483,999,67.280996
-8.154341,999,67.712359
-9.297483,999,68.228879
-9.155288,999,68.774659
-9.366157,999,69.374241
-8.234055,999,69.972984
-8.873855,999,70.44417
-9.339195,999,70.978705
-8.590673,999,71.506831
-9.442475,999,72.083605
