episode,reward,episode_length,timestep,reward_ma_50,reward_ma_100
174,-480.575266,52,4978,-929.84187458,-945.51245492
175,-986.640163,55,5033,-929.82565428,-945.4589355099998
176,-980.381345,41,5074,-929.7022279600001,-945.35338804
177,-978.465537,63,5137,-929.47723894,-945.2275364400001
178,-987.838155,38,5175,-929.37736504,-947.2381226900001
179,-978.439322,51,5226,-931.1833181400001,-947.1586835600001
180,-483.159173,41,5267,-921.0877990000001,-942.12759337
181,-979.736459,40,5307,-920.98964414,-942.04826143
182,-981.573284,43,5350,-920.8901332,-941.9856664
183,-984.253909,70,5420,-920.79319296,-941.9460320700001
184,-982.425644,69,5489,-920.62130798,-941.88572256
185,-486.723798,32,5521,-910.5428754600001,-936.86520875
186,-876.925135,62,5583,-908.2990265599999,-935.7452335099999
187,-880.360751,53,5636,-906.1246193799999,-934.6183774699999
188,-982.86299,41,5677,-906.0175810200001,-935.5606228900001
189,-483.303852,37,5714,-895.9635149999999,-930.48273663
190,-488.553665,27,5741,-886.1169120799999,-927.4873197100001
191,-973.049632,74,5815,-885.79193482,-927.36677092
192,-886.660206,35,5850,-883.85992748,-926.3229538300001
193,-389.74577,23,5873,-871.98390098,-921.3363102999999
194,-885.455607,34,5907,-869.93626152,-920.28458995
195,-491.809748,25,5932,-860.0052591,-915.3322064
196,-987.595184,40,5972,-860.1395544400001,-915.3644763899999
197,-990.416961,27,5999,-860.14237564,-915.37695311
198,-986.835891,27,6026,-862.0484994,-915.34560115
199,-485.597424,44,6070,-853.9724168199999,-910.3096182200002
200,-981.155362,50,6120,-853.87571824,-910.1951872
201,-885.558194,50,6170,-851.9590920200001,-909.1428369199999
202,-975.027462,66,6236,-851.7465366399999,-908.9969618000001
203,-486.544097,26,6262,-841.72495596,-904.95530608
204,-984.903228,34,6296,-843.70567154,-906.8888792499998
205,-989.852288,25,6321,-843.8473580600001,-906.9134396300001
206,-990.387977,27,6348,-845.99632004,-906.8909984099998
207,-871.684498,56,6404,-843.7582717800001,-905.7236922999999
208,-978.127173,61,6465,-845.6209010599999,-906.63880456
209,-981.030207,36,6501,-845.52258762,-907.56422169
