#{"t_start": 1748484616.9744322, "env_id": "MountainCarContinuous-v0"}
r,l,t
-4.707191,999,0.23432
-1.217316,999,0.484776
-1.78123,999,0.737882
-2.543141,999,1.001683
-3.611537,999,1.256559
-4.740543,999,1.497085
-5.867507,999,1.750554
-7.279237,999,2.00798
-8.690027,999,2.257766
-9.956981,999,2.505588
-11.164157,999,2.764498
-12.641851,999,3.005242
-13.299466,999,3.262778
-14.112795,999,3.516185
-14.574852,999,3.759038
-14.754642,999,4.00469
-14.305719,999,4.246033
-13.982664,999,4.489494
-13.833584,999,4.731179
-11.987708,999,4.972959
-11.298496,999,5.218823
-10.095014,999,5.460775
-8.956131,999,5.706583
-7.441032,999,5.954959
-6.282611,999,6.201523
-4.765072,999,6.444623
-3.732143,999,6.691489
-2.633356,999,6.941967
-1.92209,999,7.193269
-1.388755,999,7.44077
-1.097433,999,7.688115
-1.109563,999,7.94254
-1.267885,999,8.183579
-1.585847,999,8.43066
-2.030483,999,8.705611
-2.5077,999,8.948783
-2.829135,999,9.19397
-3.195995,999,9.439866
-3.495699,999,9.687065
-3.759062,999,9.947651
-3.708074,999,10.194069
-3.476036,999,10.506116
-3.683894,999,10.781837
-3.625982,999,11.033972
-3.265242,999,11.287865
-2.830669,999,11.619654
-2.683999,999,11.859259
-2.424894,999,12.09099
-2.007665,999,12.332317
-1.838896,999,12.579869
-1.398743,999,12.834785
-1.368553,999,13.098099
-1.288621,999,13.347021
-1.054965,999,13.593716
-1.082088,999,13.849498
-0.997046,999,14.100968
-1.075727,999,14.360308
-1.08547,999,14.605833
-1.151781,999,14.851791
-1.110137,999,15.095372
-1.267502,999,15.342172
-1.228978,999,15.586903
-1.268936,999,15.831776
-1.161532,999,16.081128
-1.148456,999,16.331046
-1.212887,999,16.573495
-1.153417,999,16.82152
-1.058788,999,17.072988
-0.972052,999,17.325026
-1.00653,999,17.572899
-1.007074,999,17.825932
-0.964212,999,18.073425
-0.913157,999,18.332955
-1.044078,999,18.594061
-1.053325,999,18.914444
-1.00807,999,19.164389
-1.044708,999,19.419171
-0.99527,999,19.719812
-0.965099,999,19.985712
-1.064354,999,20.232079
-0.967492,999,20.526922
-1.005923,999,20.777415
-0.970019,999,21.022505
-0.958357,999,21.268162
-1.003106,999,21.515993
-1.064698,999,21.760559
-0.922493,999,22.029783
-1.124941,999,22.283163
-0.984497,999,22.560339
-0.965831,999,22.821246
-1.055726,999,23.061664
-1.067584,999,23.316149
-1.010038,999,23.5649
-0.922032,999,23.810156
-1.039097,999,24.085524
-1.059717,999,24.353239
-1.045698,999,24.593314
-0.953615,999,24.842145
-1.066609,999,25.090714
-1.0059,999,25.332397
-1.063323,999,25.578838
-1.089512,999,25.825161
-1.013909,999,26.086772
-1.065026,999,26.338238
-0.966013,999,26.590361
-1.078401,999,26.837749
-1.055882,999,27.081856
-0.997223,999,27.329545
-0.970124,999,27.577535
-0.956442,999,27.827033
-0.963753,999,28.090677
-1.04894,999,28.332465
-1.015987,999,28.595517
-1.087133,999,28.840537
-1.07749,999,29.100349
-0.9976,999,29.357541
-0.989918,999,29.619199
-1.012624,999,29.86599
-1.064561,999,30.110647
-1.022233,999,30.365237
-0.984898,999,30.657175
-1.096788,999,30.898398
-1.010913,999,31.148158
-1.089392,999,31.392484
-1.058392,999,31.635781
-1.063508,999,31.874508
-0.96665,999,32.141615
-1.109328,999,32.467099
-1.055242,999,32.784535
-1.021871,999,33.047262
-1.057367,999,33.302974
-1.138223,999,33.564889
-0.97924,999,33.831188
-1.118868,999,34.086958
-1.019744,999,34.340216
-1.111228,999,34.588983
-1.060615,999,34.860681
-1.040729,999,35.111547
-0.960709,999,35.354127
-1.090847,999,35.595753
-1.120478,999,35.86196
-0.993245,999,36.137219
-1.049216,999,36.383678
-1.057385,999,36.640685
-1.067949,999,36.894427
-1.118181,999,37.147819
-1.125405,999,37.401556
-1.036301,999,37.64895
-1.028404,999,37.895593
-1.065772,999,38.147428
-1.058387,999,38.405962
-0.997029,999,38.650089
-1.018871,999,38.895766
-1.082265,999,39.144287
-1.016776,999,39.385099
-1.015146,999,39.631655
-0.992711,999,39.87832
-1.00074,999,40.12265
-0.992822,999,40.369558
-1.054663,999,40.620411
-1.034703,999,40.894496
-1.061048,999,41.152837
-1.051706,999,41.423896
-1.048577,999,41.74504
-0.995728,999,42.009853
-1.02554,999,42.299322
-0.960542,999,42.536785
-1.026167,999,42.775065
-1.021114,999,43.015571
-0.99939,999,43.264485
-1.043265,999,43.557976
-1.006014,999,43.847635
-1.09256,999,44.093557
-1.032733,999,44.341825
-1.022546,999,44.590878
-1.029705,999,44.858366
-1.002763,999,45.105007
-1.099061,999,45.351578
-1.086868,999,45.593751
-1.056916,999,45.844136
-1.060294,999,46.122626
-1.03004,999,46.366756
-1.05873,999,46.618476
-0.955786,999,46.861867
-1.008723,999,47.101438
-1.015587,999,47.358053
-0.990896,999,47.612531
-1.014446,999,47.874229
-1.032705,999,48.121281
-0.975545,999,48.41694
-0.972078,999,48.656679
-0.980687,999,48.902068
-0.971644,999,49.154258
-0.960929,999,49.40607
-1.006385,999,49.65422
