#{"t_start": 1748483153.0685954, "env_id": "MountainCarContinuous-v0"}
r,l,t
-4.450073,999,0.353998
-1.179125,999,0.729304
-1.518273,999,1.098633
-2.033147,999,1.500649
-2.453469,999,1.845591
-3.382669,999,2.285141
-4.185285,999,2.649332
-5.038985,999,2.987592
-5.534171,999,3.403576
-6.504979,999,3.858922
-6.911128,999,4.2158
-6.965649,999,4.628354
-7.226532,999,4.975943
-7.204193,999,5.355613
-7.153861,999,5.701817
-6.757122,999,6.083328
-5.937373,999,6.404673
-5.649808,999,6.772869
-5.289382,999,7.144387
-4.894556,999,7.483795
-4.154832,999,7.95052
-3.352233,999,8.278532
-3.00533,999,8.601263
-2.42102,999,8.956
-1.918509,999,9.360738
-1.757144,999,9.701433
-1.333035,999,10.17703
-1.144882,999,10.559496
-1.143238,999,10.930636
-1.002328,999,11.328368
-1.017024,999,11.680919
-1.0429,999,12.072666
-1.142375,999,12.471851
-1.199183,999,12.822093
-1.439602,999,13.235816
-1.506355,999,13.637748
-1.947636,999,14.032338
-2.043324,999,14.40248
-2.248107,999,14.762115
-2.543517,999,15.155034
-2.536693,999,15.544273
-2.626657,999,15.9266
-2.496686,999,16.352224
-2.372226,999,16.73231
-2.484131,999,17.192436
-2.238316,999,17.500404
-1.959851,999,17.817927
-1.76684,999,18.158276
-1.628024,999,18.561936
-1.30341,999,18.9138
-1.292319,999,19.301836
-1.162454,999,19.64823
-1.130519,999,20.163981
-1.050872,999,20.481966
-0.955243,999,20.813337
-1.053533,999,21.36115
-0.983992,999,21.735788
-1.059716,999,22.109653
-0.973678,999,22.629646
-0.930338,999,22.934495
-0.971691,999,23.2627
-1.12965,999,23.61566
-1.011045,999,24.031986
-0.999002,999,24.375842
-0.941054,999,24.74237
-1.054627,999,25.084563
-1.021465,999,25.482294
-1.004202,999,25.861667
-0.907972,999,26.175886
-1.047273,999,26.517982
-0.989887,999,26.948824
-1.006969,999,27.271683
-1.00857,999,27.666481
-1.059425,999,28.082882
-1.124344,999,28.589094
-1.132686,999,29.009706
-1.081666,999,29.401425
-1.155614,999,29.79746
-1.16393,999,30.241
-1.314502,999,30.610948
-1.283797,999,30.922492
-1.371904,999,31.373703
-1.430578,999,31.68916
-1.376035,999,32.055229
-1.438368,999,32.47766
-1.370662,999,32.929167
-1.356924,999,33.298661
-1.211449,999,33.618034
-1.15548,999,34.030303
-1.142092,999,34.357152
-1.15014,999,34.741318
-1.11644,999,35.1376
-1.106787,999,35.45928
-1.001248,999,35.849462
-1.006001,999,36.224898
-1.03314,999,36.726566
-1.04608,999,37.067706
-1.020924,999,37.515122
-1.020984,999,37.965245
-1.000696,999,38.284802
-1.017614,999,38.659597
-1.030637,999,39.108302
-0.951205,999,39.500936
-1.040798,999,39.86753
-1.009509,999,40.20163
-1.056054,999,40.572077
-0.97304,999,40.937268
-0.940874,999,41.294453
-1.055224,999,41.691223
-0.997898,999,42.054183
-0.961867,999,42.51673
-1.069057,999,42.89923
-1.039593,999,43.271924
-0.939929,999,43.6228
-0.987374,999,44.085036
-1.036312,999,44.408495
-0.99505,999,44.7926
-1.001272,999,45.359812
-1.010902,999,45.696565
-1.012848,999,46.129341
-1.045616,999,46.430014
-1.032788,999,46.761098
-1.06696,999,47.140979
-1.017015,999,47.596986
-1.009033,999,47.936097
-1.059762,999,48.391164
-1.082496,999,48.798308
-1.003594,999,49.21162
-1.044203,999,49.518309
-1.095719,999,49.85098
-1.04688,999,50.302127
-1.082307,999,50.614163
-1.016712,999,50.932574
-1.095787,999,51.277029
-1.096486,999,51.609907
-1.133857,999,52.064151
-1.140074,999,52.555184
-1.075535,999,52.876181
-1.067632,999,53.30799
-1.100474,999,53.66383
-1.133681,999,54.070685
-1.046838,999,54.391638
-1.047909,999,54.736196
-0.978156,999,55.191166
-1.040656,999,55.537585
-1.055397,999,55.879713
-1.080769,999,56.352684
-1.034167,999,56.779536
-0.922455,999,57.140715
-0.937242,999,57.520328
-1.036172,999,57.939136
-1.038553,999,58.2418
-1.030048,999,58.586228
-0.99511,999,58.934987
-0.989967,999,59.301971
-0.962241,999,59.816734
-1.065542,999,60.196745
-1.050669,999,60.558615
-1.038536,999,60.945412
-1.003001,999,61.311483
-1.008283,999,61.653113
-1.01546,999,62.0181
-1.072142,999,62.390634
-1.036832,999,62.748175
-1.034264,999,63.284818
-1.068052,999,63.611488
-1.017514,999,63.940138
-1.049035,999,64.277635
-1.038357,999,64.616969
-1.088826,999,65.023545
-0.999433,999,65.396222
-0.98446,999,65.745616
-0.951067,999,66.107231
-1.020843,999,66.564529
-1.072891,999,66.887914
-1.011493,999,67.296332
-1.015622,999,67.683595
-1.089446,999,68.003505
-1.066979,999,68.473252
-0.959949,999,68.945248
-0.979268,999,69.253027
-1.022172,999,69.629488
-1.009858,999,69.996136
-1.040568,999,70.42222
-1.040795,999,70.742679
-1.053206,999,71.145448
-1.042422,999,71.530222
-0.990421,999,71.980436
-1.116507,999,72.349584
-1.074915,999,72.677964
-1.044093,999,73.037163
-1.045983,999,73.406391
-1.002059,999,73.766007
-1.033077,999,74.14974
-1.087597,999,74.552458
-0.938096,999,74.914792
-1.057529,999,75.343548
-1.051094,999,75.659182
-1.068081,999,76.092035
-1.025333,999,76.483643
-1.009004,999,76.848784
-1.029041,999,77.220744
-1.080413,999,77.64465
-1.112293,999,77.968878
-1.083946,999,78.3205
-1.054718,999,78.640365
-1.044326,999,79.005391
-1.077346,999,79.417519
-0.997596,999,79.739193
-1.059061,999,80.14817
-1.011353,999,80.526701
-0.969057,999,80.930407
-0.986741,999,81.246788
-0.966907,999,81.613497
-0.98902,999,81.995546
-1.023162,999,82.380605
-1.083164,999,82.71942
-0.992413,999,83.237573
-0.99904,999,83.649669
-0.988287,999,83.986428
-0.969462,999,84.43686
-1.080815,999,84.894834
-1.044726,999,85.231452
-1.044491,999,85.575625
-1.022304,999,86.055438
-0.977577,999,86.363906
-0.999561,999,86.738771
-0.967743,999,87.040916
-0.945552,999,87.389157
-1.039272,999,87.764189
-0.986758,999,88.232608
-1.008352,999,88.779024
-1.041074,999,89.143906
-1.077275,999,89.581574
-1.015116,999,90.013996
-0.997743,999,90.33869
-1.035515,999,90.712617
-1.012367,999,91.040246
-0.986167,999,91.364549
-1.036327,999,91.923234
-1.051731,999,92.413057
-1.02604,999,92.749686
-1.030191,999,93.125391
-0.992062,999,93.482542
-1.023551,999,93.96847
-1.091597,999,94.284152
-0.988726,999,94.613702
-1.033286,999,94.958529
-1.00799,999,95.41513
-1.009178,999,95.753886
-1.089643,999,96.191226
-1.043811,999,96.693096
-0.966577,999,97.082419
-0.965755,999,97.555459
-1.015853,999,97.876656
-0.985704,999,98.297672
-0.962103,999,98.628255
-0.979094,999,99.080853
-0.958241,999,99.406983
-0.985871,999,99.766739
-1.011149,999,100.204866
-0.958727,999,100.570247
-0.990877,999,100.940469
-1.013105,999,101.39781
