#{"t_start": 1748482994.392958, "env_id": "MountainCarContinuous-v0"}
r,l,t
-7.240334,999,0.310202
-5.588706,999,0.726814
-7.338649,999,1.313389
-9.652209,999,1.738907
-11.569233,999,2.097384
-12.78664,999,2.421613
-13.306122,999,2.828089
-12.863883,999,3.18491
-12.034602,999,3.594558
-11.031925,999,3.96799
-9.612683,999,4.285125
-8.321056,999,4.655189
-6.600012,999,5.088699
-5.344272,999,5.404862
-4.123848,999,5.829115
-3.289241,999,6.228621
-2.198548,999,6.667213
-1.663321,999,7.264149
-1.125028,999,7.72052
-1.101154,999,8.197536
-1.028432,999,8.775469
-1.241984,999,9.277251
-1.778936,999,9.693814
-2.356465,999,10.169554
-2.937606,999,10.573513
-3.74513,999,11.206578
-4.497395,999,11.833599
-5.3322,999,12.324636
-6.083084,999,12.84286
-6.546309,999,13.50148
-7.245634,999,13.999447
-7.955799,999,14.68119
-8.846672,999,15.33165
-8.732273,999,15.899965
-8.906487,999,16.518559
-9.358569,999,17.068485
-9.287047,999,17.5755
-8.731449,999,18.171836
-8.826201,999,18.755062
-8.800678,999,19.329503
-8.312152,999,19.929196
-7.721951,999,20.527959
-7.323324,999,21.188829
-6.584787,999,21.627865
-5.851366,999,22.157198
-5.279086,999,22.616539
-4.421155,999,23.13944
-3.746393,999,23.769757
-3.143229,999,24.330062
-2.628605,999,24.899091
-2.080372,999,25.437691
-1.480128,999,25.949729
-1.373168,999,26.530495
-1.049005,999,27.404419
-0.939033,999,28.100092
-0.97065,999,28.621051
-1.019761,999,29.272266
-1.055927,999,29.891308
-1.19727,999,30.477865
-1.335714,999,31.183539
-1.445848,999,31.838626
-1.48265,999,32.439722
-1.497677,999,33.051365
-1.505707,999,33.67897
-1.590354,999,34.308796
-1.480318,999,34.966555
-1.453762,999,35.567116
-1.39453,999,36.080631
-1.272868,999,36.697924
-1.208198,999,37.288775
-1.143688,999,37.760283
-1.087103,999,38.338226
-1.021226,999,38.923054
-1.066039,999,39.513001
-0.946629,999,40.062699
-0.956919,999,40.636312
-1.022591,999,41.252085
-1.083676,999,41.912821
-1.070154,999,42.46148
-1.061289,999,43.001056
-0.998312,999,43.732572
-1.081525,999,44.266953
-1.124701,999,44.871531
-1.045377,999,45.40826
-1.030851,999,45.979786
-0.993036,999,46.548813
-1.010148,999,47.125576
-0.941166,999,47.588193
-0.933431,999,48.171656
-1.101974,999,48.739613
-1.022029,999,49.384557
-0.930361,999,49.926636
-1.003818,999,50.558764
-1.012988,999,51.215156
-1.029648,999,51.928715
-0.980701,999,52.558711
-1.017345,999,53.106566
-1.042724,999,53.684277
-1.004726,999,54.303041
-1.026275,999,54.875666
-1.093643,999,55.425937
-1.038528,999,56.012306
-1.071967,999,56.583211
-1.113876,999,57.205159
-1.071266,999,57.70946
-0.975991,999,58.30174
-1.042785,999,58.87871
-1.040143,999,59.48318
-1.042771,999,59.994672
-0.944606,999,60.469369
-1.028691,999,61.094261
-1.049219,999,61.621142
-1.018276,999,62.180409
-1.023094,999,62.740427
-1.024682,999,63.427849
-0.982622,999,64.007713
-0.94484,999,64.60307
-0.968174,999,65.20888
-0.964468,999,65.712512
-1.045059,999,66.341203
-0.940317,999,66.836468
-0.978354,999,67.528415
-1.102358,999,68.213395
-1.052029,999,68.805064
-0.971592,999,69.442688
-0.985712,999,70.084483
-0.995955,999,70.634619
-0.978127,999,71.334032
-0.918337,999,71.890088
-1.049585,999,72.354791
-1.003999,999,72.898516
-1.012194,999,73.436429
-0.914533,999,74.001765
-1.005887,999,74.542714
-0.998586,999,75.214669
-1.058443,999,75.955841
-1.047429,999,76.474934
-0.953891,999,77.021616
-1.005917,999,77.660066
-1.046991,999,78.253153
-1.040704,999,78.840839
-0.978155,999,79.351562
-1.001601,999,79.85477
-1.087358,999,80.412595
-1.000993,999,81.038122
-1.014361,999,81.578776
-1.069064,999,82.147217
-1.086634,999,82.667975
-1.030267,999,83.201455
-0.956895,999,83.792576
-0.975585,999,84.413923
-1.000548,999,85.011168
-1.03088,999,85.928292
-1.165072,999,86.721092
-0.966719,999,87.515212
-0.963855,999,88.470256
-1.017696,999,89.129268
-0.987621,999,89.962136
-0.934449,999,90.74827
-1.020382,999,91.334767
-0.944561,999,92.119848
-1.076158,999,92.788767
-1.039405,999,93.398561
-1.00358,999,94.028431
-1.034533,999,94.527074
-0.99792,999,95.156998
-1.026247,999,95.876959
-1.053023,999,96.456395
-0.997254,999,97.443337
-0.972221,999,98.234592
-1.00012,999,99.020366
-0.990294,999,99.579149
-1.018119,999,100.348537
-1.022104,999,101.110274
-0.948224,999,101.648041
