episode,reward,episode_length,timestep,reward_ma_50,reward_ma_100
1,-991.778302,24,24,-991.778302,-991.778302
2,-987.147304,35,59,-989.462803,-989.462803
3,-888.861828,27,86,-955.9291446666666,-955.9291446666666
4,-987.125527,28,114,-963.72824025,-963.72824025
5,-984.722364,40,154,-967.9270650000001,-967.9270650000001
6,-986.897018,31,185,-971.0887238333333,-971.0887238333333
7,-988.875024,37,222,-973.6296238571429,-973.6296238571429
8,-989.537205,25,247,-975.6180715,-975.6180715
9,-986.172665,31,278,-976.7908041111111,-976.7908041111111
10,-988.813928,26,304,-977.9931165,-977.9931165
11,-991.154851,30,334,-979.1896378181817,-979.1896378181817
12,-991.528175,29,363,-980.2178492500001,-980.2178492500001
13,-988.160267,24,387,-980.8288044615384,-980.8288044615384
14,-984.197152,31,418,-981.0694007142857,-981.0694007142857
15,-991.029296,29,447,-981.7333937333333,-981.7333937333333
16,-985.42505,24,471,-981.9641222500001,-981.9641222500001
17,-989.840511,23,494,-982.4274392352942,-982.4274392352942
18,-991.102155,21,515,-982.9093678888889,-982.9093678888889
19,-988.87122,21,536,-983.2231495789473,-983.2231495789473
20,-886.482495,23,559,-978.38611685,-978.38611685
21,-987.363624,21,580,-978.8136171904762,-978.8136171904762
22,-888.881205,25,605,-974.7257802727272,-974.7257802727272
23,-988.249862,29,634,-975.3137838260869,-975.3137838260869
24,-994.385696,21,655,-976.1084468333333,-976.1084468333333
25,-992.45747,22,677,-976.7624077600001,-976.7624077600001
26,-990.047136,22,699,-977.2733588461538,-977.2733588461538
27,-886.946679,31,730,-973.9279262592593,-973.9279262592593
28,-889.582028,27,757,-970.91557275,-970.91557275
29,-487.451906,28,785,-954.2444118275862,-954.2444118275862
30,-990.625767,22,807,-955.4571236666667,-955.4571236666667
31,-987.574457,29,836,-956.4931666774194,-956.4931666774194
32,-990.011373,25,861,-957.540610625,-957.540610625
33,-988.244296,27,888,-958.4710253333334,-958.4710253333334
34,-989.859628,31,919,-959.3942195294118,-959.3942195294118
35,-489.008552,23,942,-945.9546290285715,-945.9546290285715
36,-988.5267,25,967,-947.1371865555554,-947.1371865555554
37,-992.58728,22,989,-948.3655674594594,-948.3655674594594
38,-979.529302,39,1028,-949.1856657368421,-949.1856657368421
39,-988.855117,24,1052,-950.2028311538461,-950.2028311538461
40,-890.789731,27,1079,-948.71750365,-948.71750365
41,-989.75271,25,1104,-949.7183623414635,-949.7183623414635
42,-989.441326,25,1129,-950.6641471904762,-950.6641471904762
43,-388.254994,22,1151,-937.5848645581395,-937.5848645581395
44,-984.725842,30,1181,-938.6562504090908,-938.6562504090908
45,-988.109297,30,1211,-939.755207,-939.755207
46,-990.286982,23,1234,-940.853723847826,-940.853723847826
47,-993.684316,21,1255,-941.9777789999999,-941.9777789999999
48,-988.815379,21,1276,-942.9535623333333,-942.9535623333333
49,-491.501782,25,1301,-933.7402606938775,-933.7402606938775
50,-991.103364,29,1330,-934.88752276,-934.88752276
51,-990.720992,21,1351,-934.86637656,-935.9822966666667
52,-991.030418,23,1374,-934.94403884,-937.0409143846153
53,-987.513363,29,1403,-936.91706954,-937.9932247358491
54,-491.235684,22,1425,-926.99927268,-929.7199369444445
55,-990.725404,29,1454,-927.1193334799999,-930.8291272545455
56,-991.414654,20,1474,-927.2096862,-931.9110116607143
57,-991.115247,20,1494,-927.25449066,-932.9496824561404
58,-788.370067,22,1516,-923.2311478999999,-930.4569304655173
59,-988.846377,21,1537,-923.28462214,-931.4465821016948
60,-992.935932,21,1558,-923.36706222,-932.4714046
61,-990.356882,23,1581,-923.35110284,-933.420346852459
62,-985.242151,22,1603,-923.2253823599999,-934.2561824032258
63,-991.760041,21,1624,-923.29737784,-935.1689420634921
64,-990.757444,20,1644,-923.42858368,-936.03751240625
65,-987.202437,23,1667,-923.3520465,-936.8246650923077
66,-993.839216,21,1688,-923.52032982,-937.6885219242424
67,-991.508177,20,1708,-923.55368314,-938.4918003582089
68,-990.434225,23,1731,-923.54032454,-939.2556595441176
69,-989.338013,22,1753,-923.5496604,-939.9814907536232
70,-891.1083,22,1775,-923.6421765,-939.2833023142857
71,-891.389419,21,1796,-921.7226924000001,-938.6087405774648
72,-991.635213,21,1817,-923.77777256,-939.3452193611112
73,-990.45416,21,1838,-923.82185852,-940.0453418356163
74,-986.798318,21,1859,-923.67011096,-940.6771388108108
75,-991.449455,21,1880,-923.6499506600001,-941.3541030266667
76,-992.230356,20,1900,-923.69361506,-942.0235274078948
77,-988.561245,27,1927,-925.72590638,-942.6279133506494
78,-786.842037,27,1954,-923.6711065599999,-940.6306585256411
79,-989.819695,25,1979,-933.71846234,-941.2533045569621
80,-988.540985,21,2000,-933.6767666999999,-941.8444005625
81,-991.553941,21,2021,-933.75635638,-942.4580985925925
82,-993.962213,21,2042,-933.83537318,-943.0861975487805
83,-990.281467,21,2063,-933.8761166,-943.654815253012
84,-989.044226,25,2088,-933.8598085599999,-944.1951653809525
85,-987.949289,22,2110,-943.8386233,-944.7099197764707
86,-889.225617,24,2134,-941.8526016400001,-944.0647534651162
87,-989.769635,22,2156,-941.7962487399999,-944.5900969310344
88,-991.196574,21,2177,-942.02959418,-945.1197159886364
89,-890.014987,22,2199,-940.0527915800001,-944.500561730337
90,-990.54856,22,2221,-942.04796816,-945.0122061555555
91,-987.99237,25,2246,-942.01276136,-945.4845156483517
92,-992.424185,22,2268,-942.07241854,-945.9947294456522
93,-988.997572,23,2291,-954.0872701000001,-946.4571256021507
94,-986.392897,26,2317,-954.1206112,-946.8819742340426
95,-890.94294,24,2341,-952.1772840599999,-946.2931422947369
96,-989.082167,24,2365,-952.15318776,-946.7388613020834
97,-991.545122,21,2386,-952.11040388,-947.2007815154639
98,-992.337463,23,2409,-952.18084556,-947.6613598979592
99,-992.147167,24,2433,-962.1937532600001,-948.1107114848485
100,-989.102479,24,2457,-962.1537355600001,-948.52062916
101,-992.721565,25,2482,-962.19374702,-948.5300617899999
102,-993.170466,21,2503,-962.2365479800001,-948.59029341
103,-989.485909,25,2528,-962.2759989,-949.5965342200001
104,-890.405946,26,2554,-970.25940414,-948.6293384100001
105,-888.740567,23,2577,-968.2197074000001,-947.66952044
106,-991.524597,24,2601,-968.22190626,-947.71579623
107,-988.060678,25,2626,-968.16081488,-947.70765277
108,-988.973574,37,2663,-972.1728850200001,-947.70201646
109,-989.46991,24,2687,-972.18535568,-947.73498891
110,-791.153403,25,2712,-968.1497051,-945.7583836599999
111,-988.78044,28,2740,-968.11817626,-945.73463955
112,-993.533413,24,2764,-968.2840015,-945.7546919299999
113,-990.892956,24,2788,-968.2666598000001,-945.78201882
114,-990.362245,25,2813,-968.2587558199999,-945.8436697500001
115,-490.994806,22,2835,-958.3346032,-940.84332485
116,-486.614158,26,2861,-948.1901020399999,-935.85521593
117,-990.676418,25,2886,-948.1734668600001,-935.8635750000001
118,-992.578943,24,2910,-948.21636122,-935.8783428800001
119,-991.752881,24,2934,-948.26465858,-935.90715949
120,-885.951386,29,2963,-948.1615203,-935.9018484000001
121,-887.348785,24,2987,-948.08070762,-934.9017000099999
122,-389.797059,25,3012,-936.04394454,-929.91085855
123,-887.286434,23,3035,-933.9805900200001,-928.90122427
124,-987.456684,32,3067,-933.99375734,-928.83193415
125,-986.198442,27,3094,-933.8887370799999,-928.7693438700001
126,-987.835926,27,3121,-933.80084848,-928.7472317700001
127,-987.795197,25,3146,-933.7855275200001,-929.7557169500001
128,-788.533883,24,3170,-933.8193644400001,-928.7452355
129,-492.197518,23,3193,-923.8669209000001,-928.7926916199999
130,-987.916436,24,3217,-923.8544299200001,-928.7655983100001
131,-990.332802,31,3248,-923.8300071399999,-928.79318176
132,-981.536002,44,3292,-923.58148292,-928.70842805
133,-986.163123,32,3324,-923.49911604,-928.6876163200001
134,-988.431036,26,3350,-923.48685224,-928.6733303999999
135,-881.560095,43,3393,-921.3590683599999,-932.59884583
136,-988.581872,26,3419,-923.3461934600001,-932.59939755
137,-889.633468,22,3441,-921.3434701200001,-931.5698594300001
138,-988.132877,27,3468,-921.28219618,-931.6558951799999
139,-489.612201,23,3491,-913.27414046,-926.6634660199999
140,-987.641313,31,3522,-913.21599552,-927.63198184
141,-991.289243,26,3548,-913.28193298,-927.64734717
142,-989.386095,24,3572,-913.2211711799999,-927.6467948599999
143,-986.96981,27,3599,-913.1806159399999,-933.6339430200001
144,-989.988865,20,3619,-913.2525353,-933.6865732499999
145,-981.498345,38,3657,-915.0636434,-933.6204637300001
146,-976.356091,54,3711,-914.80912188,-933.4811548199999
147,-986.534412,25,3736,-914.7089076799999,-933.40965578
148,-985.155223,27,3763,-914.5652628800001,-933.3730542199999
149,-976.686232,66,3829,-914.25604418,-938.22489872
150,-974.576451,93,3922,-913.96552362,-938.05962959
151,-991.003572,23,3945,-913.9311637599999,-938.0624553900001
152,-888.973192,30,3975,-911.8472182800001,-937.0418831299999
153,-986.775733,28,4003,-911.7930147599999,-937.03450683
154,-885.845453,36,4039,-911.7018049,-940.98060452
155,-987.557221,23,4062,-913.67813798,-940.9489226899999
156,-886.777032,22,4084,-911.58318668,-939.90254647
157,-491.279928,24,4108,-901.64757168,-934.9041932800001
158,-987.497768,28,4136,-901.6180555599999,-936.8954702899999
159,-782.277439,44,4180,-897.47420614,-934.82978091
160,-984.122109,35,4215,-901.33358026,-934.7416426799999
161,-490.304853,26,4241,-891.36406852,-929.74112239
162,-987.886953,23,4264,-891.2511393200001,-929.7675704100001
163,-982.840187,38,4302,-891.09008394,-929.67837187
164,-487.949542,24,4326,-881.04182988,-924.6502928499999
165,-988.782948,58,4384,-890.99759272,-924.66609796
166,-985.466545,36,4420,-900.97464046,-924.58237125
167,-388.281183,25,4445,-888.92673576,-918.5501013100001
168,-987.70948,28,4473,-888.8293464999999,-918.52285386
169,-988.864374,25,4498,-888.77157636,-918.51811747
170,-887.840353,28,4526,-888.8093557,-918.485438
171,-985.688328,26,4552,-890.7761465599999,-919.42842709
172,-988.322667,25,4577,-902.74665872,-919.3953016300001
173,-988.072165,26,4603,-904.7623733400001,-919.37148168
174,-491.526105,19,4622,-894.84376176,-914.41875955
175,-886.194535,33,4655,-892.8436836200001,-913.3662103499998
176,-987.038478,28,4683,-892.82773466,-913.3142915699999
177,-990.671855,24,4707,-892.88526782,-913.3353976700001
178,-983.327132,33,4740,-896.7811327999999,-915.3002486199999
179,-887.898416,29,4769,-904.6951507599999,-914.2810358299998
180,-988.572666,29,4798,-904.70827536,-914.28135264
181,-887.64127,27,4825,-902.65444472,-913.24222593
182,-989.613199,23,4848,-902.81598866,-913.1987357900001
183,-981.584748,47,4895,-902.72442116,-913.1117686000001
184,-987.675692,28,4923,-902.70931428,-913.09808326
185,-981.868157,46,4969,-904.71547552,-913.0372719399999
186,-489.600135,25,4994,-894.73584078,-909.0410171199999
187,-887.623945,28,5022,-894.69565032,-908.01956022
188,-487.803626,37,5059,-884.6890653,-902.98563074
