#{"t_start": 1748380061.8886979, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.012049
-200.0,200,0.021893
-200.0,200,0.032262
-200.0,200,0.041811
-200.0,200,0.051334
-200.0,200,0.148907
-200.0,200,0.257517
-200.0,200,0.387918
-200.0,200,0.469312
-200.0,200,0.543322
-200.0,200,0.628091
-200.0,200,0.714077
-200.0,200,0.789983
-200.0,200,0.865465
-200.0,200,0.947176
-200.0,200,1.024446
-200.0,200,1.111811
-200.0,200,1.201195
-200.0,200,1.283255
-200.0,200,1.388014
-200.0,200,1.469363
-200.0,200,1.557135
-200.0,200,1.648878
-200.0,200,1.732291
-200.0,200,1.840463
-200.0,200,1.9397
-200.0,200,2.069746
-200.0,200,2.161122
-200.0,200,2.247927
-200.0,200,2.333448
-200.0,200,2.426555
-200.0,200,2.519069
-200.0,200,2.608736
-200.0,200,2.712892
-200.0,200,2.808367
-200.0,200,2.93398
-200.0,200,3.025892
-200.0,200,3.121122
-200.0,200,3.231416
-200.0,200,3.321655
-200.0,200,3.417953
-200.0,200,3.541873
-200.0,200,3.63771
-200.0,200,3.727606
-200.0,200,3.818496
-200.0,200,3.905059
-200.0,200,3.997365
-200.0,200,4.085724
-200.0,200,4.177409
-200.0,200,4.272714
-200.0,200,4.367781
-200.0,200,4.457568
-200.0,200,4.547626
-200.0,200,4.649035
-200.0,200,4.764012
-200.0,200,4.857535
-200.0,200,4.956942
-200.0,200,5.049783
-200.0,200,5.148777
-200.0,200,5.243011
-200.0,200,5.382551
-200.0,200,5.503198
-200.0,200,5.610086
-200.0,200,5.699688
-200.0,200,5.791447
-200.0,200,5.879311
-200.0,200,5.971144
-200.0,200,6.070383
-200.0,200,6.190794
-200.0,200,6.304276
-200.0,200,6.500548
-200.0,200,6.600129
-200.0,200,6.698181
-200.0,200,6.800704
-200.0,200,6.905934
-200.0,200,7.021863
-200.0,200,7.142042
-200.0,200,7.241776
-200.0,200,7.345938
-200.0,200,7.468763
-200.0,200,7.691967
-200.0,200,7.793107
-200.0,200,7.938026
-200.0,200,8.036523
-200.0,200,8.135246
-200.0,200,8.24183
-200.0,200,8.340569
-200.0,200,8.436681
-200.0,200,8.53339
-200.0,200,8.632169
-200.0,200,8.742112
-200.0,200,8.870756
-200.0,200,8.974683
-200.0,200,9.095565
-200.0,200,9.204389
-200.0,200,9.331795
-200.0,200,9.517243
-200.0,200,9.680004
-200.0,200,9.791899
-200.0,200,9.898775
-200.0,200,10.049578
-200.0,200,10.205808
-200.0,200,10.305676
-200.0,200,10.430539
-200.0,200,10.557427
-200.0,200,10.663484
-200.0,200,10.765577
-200.0,200,10.862791
-200.0,200,10.958822
-200.0,200,11.058762
-188.0,188,11.173201
-200.0,200,11.282016
-200.0,200,11.412912
-200.0,200,11.517624
-200.0,200,11.658199
-200.0,200,11.756176
-200.0,200,11.890969
-200.0,200,12.024354
-200.0,200,12.141151
-200.0,200,12.32878
-200.0,200,12.467767
-200.0,200,12.619311
-200.0,200,12.72639
-200.0,200,12.845494
-200.0,200,12.990698
-112.0,112,13.0534
-200.0,200,13.225979
-200.0,200,13.353064
-200.0,200,13.462035
-200.0,200,13.597611
-200.0,200,13.748284
-200.0,200,13.892181
-200.0,200,14.036669
-200.0,200,14.14722
-200.0,200,14.255256
-200.0,200,14.375697
-200.0,200,14.476206
-200.0,200,14.581962
-200.0,200,14.688649
-200.0,200,14.794066
-200.0,200,14.90837
-200.0,200,15.012002
-200.0,200,15.119994
-200.0,200,15.227869
-200.0,200,15.332421
-200.0,200,15.462806
-200.0,200,15.601755
-200.0,200,15.733914
-200.0,200,15.839983
-200.0,200,15.982401
-200.0,200,16.126891
-171.0,171,16.254424
-200.0,200,16.381338
-200.0,200,16.506695
-200.0,200,16.693333
-200.0,200,16.811607
-200.0,200,16.912661
-200.0,200,17.070819
-200.0,200,17.206971
-200.0,200,17.307986
-200.0,200,17.416109
-200.0,200,17.521276
-200.0,200,17.627058
-200.0,200,17.728809
-200.0,200,17.833781
-200.0,200,17.935136
-112.0,112,17.991893
-200.0,200,18.093629
-200.0,200,18.197872
-200.0,200,18.300838
-200.0,200,18.444937
-200.0,200,18.563382
-200.0,200,18.68476
-200.0,200,18.790757
-200.0,200,18.946785
-200.0,200,19.08696
-200.0,200,19.195925
-200.0,200,19.300592
-200.0,200,19.425399
-200.0,200,19.536056
-200.0,200,19.652254
-200.0,200,19.78204
-200.0,200,19.971613
-200.0,200,20.082863
-200.0,200,20.208689
-200.0,200,20.327686
-200.0,200,20.539242
-200.0,200,20.645239
-200.0,200,20.750603
-200.0,200,20.859372
-200.0,200,20.997101
-200.0,200,21.25538
-200.0,200,21.395016
-200.0,200,21.497184
-200.0,200,21.617743
-200.0,200,21.778474
-181.0,181,21.877855
-200.0,200,21.992008
-200.0,200,22.100363
-200.0,200,22.226934
-200.0,200,22.362358
-119.0,119,22.462452
-200.0,200,22.586242
-200.0,200,22.727139
-200.0,200,22.831775
-200.0,200,22.966036
-200.0,200,23.126754
-179.0,179,23.243345
-200.0,200,23.360341
-200.0,200,23.474593
-200.0,200,23.609232
-200.0,200,23.726722
-200.0,200,23.839184
-200.0,200,23.942072
-200.0,200,24.043553
-200.0,200,24.158904
-200.0,200,24.278843
-200.0,200,24.38709
-200.0,200,24.493639
-200.0,200,24.605583
-200.0,200,24.751796
-200.0,200,24.860123
-200.0,200,24.979827
-200.0,200,25.108118
-200.0,200,25.212804
-200.0,200,25.322673
-200.0,200,25.454934
-138.0,138,25.552928
-132.0,132,25.640783
-200.0,200,25.740268
-200.0,200,25.88934
-200.0,200,25.994654
-200.0,200,26.111745
-143.0,143,26.194185
-200.0,200,26.304078
-200.0,200,26.439911
