#{"t_start": 1748381017.224438, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.012362
-200.0,200,0.02221
-200.0,200,0.031786
-200.0,200,0.041335
-200.0,200,0.05091
-200.0,200,0.146631
-200.0,200,0.237388
-200.0,200,0.341794
-200.0,200,0.417008
-200.0,200,0.493456
-200.0,200,0.57405
-200.0,200,0.664347
-200.0,200,0.781457
-200.0,200,0.888995
-200.0,200,1.000854
-200.0,200,1.113203
-200.0,200,1.200649
-200.0,200,1.281246
-200.0,200,1.361299
-200.0,200,1.446934
-200.0,200,1.540941
-200.0,200,1.628876
-200.0,200,1.743124
-200.0,200,1.870943
-200.0,200,1.957033
-200.0,200,2.045856
-200.0,200,2.131101
-200.0,200,2.210255
-200.0,200,2.291081
-200.0,200,2.373396
-200.0,200,2.467765
-200.0,200,2.591489
-200.0,200,2.676532
-200.0,200,2.758878
-200.0,200,2.895928
-200.0,200,2.997777
-200.0,200,3.11318
-200.0,200,3.209837
-200.0,200,3.306978
-200.0,200,3.409319
-200.0,200,3.499171
-200.0,200,3.585007
-200.0,200,3.684257
-200.0,200,3.813063
-200.0,200,3.904704
-200.0,200,3.993868
-200.0,200,4.14745
-200.0,200,4.231623
-200.0,200,4.319502
-200.0,200,4.40601
-200.0,200,4.617131
-200.0,200,4.757199
-200.0,200,4.869157
-200.0,200,4.966151
-200.0,200,5.092659
-200.0,200,5.216063
-200.0,200,5.317198
-200.0,200,5.411155
-200.0,200,5.53323
-200.0,200,5.691538
-200.0,200,5.807004
-200.0,200,5.918017
-200.0,200,6.013242
-200.0,200,6.098643
-200.0,200,6.185295
-200.0,200,6.271839
-200.0,200,6.355218
-200.0,200,6.45396
-200.0,200,6.561512
-200.0,200,6.652107
-200.0,200,6.739208
-200.0,200,6.881556
-200.0,200,6.973559
-200.0,200,7.062408
-200.0,200,7.160258
-200.0,200,7.260133
-200.0,200,7.347967
-200.0,200,7.490599
-200.0,200,7.576727
-200.0,200,7.688982
-200.0,200,7.785453
-200.0,200,7.883531
-200.0,200,7.974344
-200.0,200,8.066663
-200.0,200,8.158045
