#{"t_start": 1748379485.760097, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.011793
-200.0,200,0.021408
-200.0,200,0.030894
-200.0,200,0.04032
-200.0,200,0.049637
-200.0,200,0.12825
-200.0,200,0.208662
-200.0,200,0.286256
-200.0,200,0.366493
-200.0,200,0.448944
-200.0,200,0.595685
-200.0,200,0.67876
-200.0,200,0.756442
-200.0,200,0.840524
-200.0,200,0.926953
-200.0,200,1.018367
-200.0,200,1.105613
-200.0,200,1.181487
-200.0,200,1.276014
-200.0,200,1.354908
-200.0,200,1.447673
-200.0,200,1.531844
-200.0,200,1.618921
-200.0,200,1.770334
-200.0,200,1.881235
-200.0,200,1.988898
-200.0,200,2.071949
-200.0,200,2.199723
-200.0,200,2.289071
-200.0,200,2.405224
-200.0,200,2.6913
-200.0,200,2.877185
-200.0,200,2.985108
-200.0,200,3.093919
-200.0,200,3.243716
-200.0,200,3.376252
-200.0,200,3.46502
-200.0,200,3.544507
-200.0,200,3.627717
-200.0,200,3.717458
-200.0,200,3.800465
-200.0,200,3.880392
-200.0,200,3.959276
-200.0,200,4.03879
-200.0,200,4.128419
-200.0,200,4.228723
-200.0,200,4.312075
-200.0,200,4.41248
-200.0,200,4.496328
-200.0,200,4.584799
-200.0,200,4.675816
-200.0,200,4.773977
-200.0,200,4.852375
-200.0,200,4.931858
-200.0,200,5.031042
-200.0,200,5.120447
-200.0,200,5.20453
-200.0,200,5.301184
-200.0,200,5.408427
-200.0,200,5.500188
-200.0,200,5.58815
-200.0,200,5.816152
-200.0,200,5.921415
-200.0,200,6.017594
-200.0,200,6.15494
-200.0,200,6.287954
-200.0,200,6.375087
-200.0,200,6.463423
-200.0,200,6.554556
-200.0,200,6.683419
-200.0,200,6.783067
-200.0,200,6.863641
-200.0,200,6.94665
-200.0,200,7.06118
-200.0,200,7.182171
-200.0,200,7.298657
-200.0,200,7.405266
-200.0,200,7.516348
-200.0,200,7.602257
-200.0,200,7.758229
-200.0,200,7.946844
-200.0,200,8.120888
-200.0,200,8.240803
-200.0,200,8.363401
-200.0,200,8.460679
-200.0,200,8.54627
-200.0,200,8.633369
-200.0,200,8.725247
-200.0,200,8.812391
-200.0,200,8.90319
-200.0,200,9.027316
-200.0,200,9.117214
-200.0,200,9.209489
-200.0,200,9.303572
-200.0,200,9.422754
-200.0,200,9.511852
-200.0,200,9.595162
-200.0,200,9.696553
-200.0,200,9.796951
-200.0,200,9.89642
-200.0,200,10.037532
-200.0,200,10.132337
-200.0,200,10.226332
-200.0,200,10.321323
-200.0,200,10.424257
-200.0,200,10.54924
-200.0,200,10.637353
-200.0,200,10.757234
-200.0,200,10.851625
-200.0,200,10.947061
-200.0,200,11.045242
-200.0,200,11.136262
-200.0,200,11.229839
-200.0,200,11.337627
-200.0,200,11.457621
-200.0,200,11.589518
-200.0,200,11.700255
-200.0,200,11.806808
-200.0,200,11.901233
-200.0,200,11.991824
-200.0,200,12.119087
-200.0,200,12.213319
-200.0,200,12.305929
-200.0,200,12.39357
-200.0,200,12.503388
-200.0,200,12.591252
-200.0,200,12.693641
-200.0,200,12.796404
-200.0,200,12.889336
-200.0,200,12.986609
-200.0,200,13.110149
-200.0,200,13.210568
-200.0,200,13.336615
-200.0,200,13.434298
-200.0,200,13.529465
-200.0,200,13.624493
-200.0,200,13.816966
-200.0,200,13.911711
-200.0,200,14.005563
-200.0,200,14.09901
-200.0,200,14.209664
-200.0,200,14.349753
-200.0,200,14.456586
-200.0,200,14.603536
-200.0,200,14.721827
-200.0,200,14.850322
-200.0,200,14.98318
-200.0,200,15.186337
-200.0,200,15.329767
-200.0,200,15.48333
-200.0,200,15.611681
-200.0,200,15.713382
-200.0,200,15.812158
-200.0,200,15.917637
-200.0,200,16.058696
-200.0,200,16.182605
-200.0,200,16.279398
-200.0,200,16.375657
-200.0,200,16.478512
-200.0,200,16.571618
-200.0,200,16.671119
-200.0,200,16.816342
-200.0,200,16.960821
-200.0,200,17.092546
-200.0,200,17.197708
-200.0,200,17.324504
-200.0,200,17.421761
-200.0,200,17.524992
-200.0,200,17.685201
-200.0,200,17.817204
-200.0,200,17.936281
-200.0,200,18.034994
-200.0,200,18.131756
-200.0,200,18.237533
-200.0,200,18.336179
-200.0,200,18.454242
-200.0,200,18.550201
-200.0,200,18.659011
-200.0,200,18.76074
-200.0,200,18.867788
-200.0,200,18.977795
-200.0,200,19.085231
-200.0,200,19.252694
-200.0,200,19.352869
-200.0,200,19.446951
-200.0,200,19.54512
-200.0,200,19.640696
-200.0,200,19.749515
-200.0,200,19.875715
-200.0,200,19.989978
-200.0,200,20.087848
-200.0,200,20.185567
-200.0,200,20.282377
-200.0,200,20.389442
-200.0,200,20.486491
-200.0,200,20.585537
-200.0,200,20.700295
-200.0,200,20.804397
-200.0,200,20.902004
-200.0,200,21.00566
-200.0,200,21.104827
-200.0,200,21.204411
-200.0,200,21.304621
-200.0,200,21.423246
-200.0,200,21.526399
-200.0,200,21.635787
-200.0,200,21.849403
-200.0,200,21.950926
-200.0,200,22.080275
-200.0,200,22.201695
-200.0,200,22.353155
-200.0,200,22.483747
-200.0,200,22.58216
-200.0,200,22.721863
-200.0,200,22.824968
-200.0,200,22.984227
-200.0,200,23.135548
-200.0,200,23.27182
-200.0,200,23.376489
-200.0,200,23.478069
-200.0,200,23.592983
-200.0,200,23.692197
-200.0,200,23.800271
-200.0,200,23.929816
-200.0,200,24.044919
-200.0,200,24.144911
-200.0,200,24.255075
-200.0,200,24.391303
-200.0,200,24.496683
-200.0,200,24.610051
-200.0,200,24.737262
-200.0,200,24.848643
-200.0,200,24.953724
-200.0,200,25.053729
-200.0,200,25.157542
-200.0,200,25.259866
-200.0,200,25.361396
-200.0,200,25.475758
-200.0,200,25.600159
-200.0,200,25.739342
-200.0,200,25.834407
-200.0,200,25.931656
-200.0,200,26.032246
-200.0,200,26.131397
-200.0,200,26.237965
-200.0,200,26.367321
-200.0,200,26.470087
-200.0,200,26.581921
-200.0,200,26.754853
-200.0,200,26.866106
-200.0,200,26.979728
-200.0,200,27.131659
-200.0,200,27.238177
-200.0,200,27.37132
-200.0,200,27.52168
-200.0,200,27.690552
-200.0,200,27.788574
-200.0,200,27.88876
-200.0,200,28.026741
-200.0,200,28.147004
-200.0,200,28.254021
-200.0,200,28.361823
-200.0,200,28.464658
-200.0,200,28.566763
-200.0,200,28.676047
-200.0,200,28.842815
-200.0,200,28.940796
-200.0,200,29.038308
-200.0,200,29.195519
-200.0,200,29.306345
-200.0,200,29.50004
-200.0,200,29.601683
-200.0,200,29.707135
-200.0,200,29.810759
-200.0,200,29.926064
-200.0,200,30.064003
-200.0,200,30.174256
-200.0,200,30.291443
-200.0,200,30.399785
-200.0,200,30.531853
-200.0,200,30.648228
-200.0,200,30.802012
-200.0,200,30.913795
-200.0,200,31.084121
-200.0,200,31.228708
-200.0,200,31.33758
-200.0,200,31.442568
-200.0,200,31.564791
-200.0,200,31.676183
-200.0,200,31.793838
-200.0,200,31.907438
-200.0,200,32.014077
-200.0,200,32.117833
-200.0,200,32.22216
-200.0,200,32.333155
-200.0,200,32.437977
-200.0,200,32.543424
-200.0,200,32.646487
-200.0,200,32.756294
-200.0,200,32.861799
-200.0,200,33.046896
-200.0,200,33.190977
-200.0,200,33.339674
-200.0,200,33.439476
-200.0,200,33.617878
-200.0,200,33.740417
-200.0,200,33.848962
-200.0,200,33.962463
-200.0,200,34.119542
-200.0,200,34.237931
-200.0,200,34.373526
-200.0,200,34.488667
-200.0,200,34.608014
-200.0,200,34.779375
-200.0,200,34.891769
-200.0,200,34.9965
-200.0,200,35.094855
-200.0,200,35.197101
-200.0,200,35.302298
-200.0,200,35.419324
-200.0,200,35.530535
-200.0,200,35.630723
-200.0,200,35.73865
-200.0,200,35.84311
-200.0,200,35.952467
-200.0,200,36.094746
