#{"t_start": 1748381212.8949742, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.011874
-200.0,200,0.021778
-200.0,200,0.031436
-200.0,200,0.040961
-200.0,200,0.050376
-200.0,200,0.143605
-200.0,200,0.237656
-200.0,200,0.34959
-200.0,200,0.462249
-200.0,200,0.587645
-200.0,200,0.734539
-200.0,200,0.83751
-200.0,200,0.952987
-200.0,200,1.07496
-200.0,200,1.176818
-200.0,200,1.387414
-200.0,200,1.581556
-200.0,200,1.716729
-200.0,200,1.819759
-200.0,200,1.917509
-200.0,200,2.087202
-200.0,200,2.216299
-200.0,200,2.425663
-200.0,200,2.584984
-200.0,200,2.775435
-200.0,200,2.926471
-200.0,200,3.108203
-200.0,200,3.329363
-200.0,200,3.523898
-200.0,200,3.626134
-200.0,200,3.723136
-200.0,200,3.821275
-200.0,200,4.016402
-200.0,200,4.183485
-200.0,200,4.296646
-200.0,200,4.399521
-200.0,200,4.517809
-200.0,200,4.637899
-200.0,200,4.7668
-200.0,200,4.925804
-200.0,200,5.135139
-200.0,200,5.246812
-200.0,200,5.341915
-200.0,200,5.432043
-200.0,200,5.520364
-200.0,200,5.623684
-200.0,200,5.742765
-200.0,200,5.839352
-200.0,200,5.930733
-200.0,200,6.023035
-200.0,200,6.149589
-200.0,200,6.360729
-200.0,200,6.521331
-200.0,200,6.704094
-200.0,200,6.835267
-200.0,200,6.940569
-200.0,200,7.074687
-200.0,200,7.238427
-200.0,200,7.376712
-200.0,200,7.510901
-200.0,200,7.649927
-200.0,200,7.874141
-200.0,200,8.167887
-200.0,200,8.403217
-200.0,200,8.574963
-200.0,200,8.718434
-200.0,200,8.875273
-200.0,200,8.988816
-200.0,200,9.089965
-200.0,200,9.217684
-200.0,200,9.327984
-200.0,200,9.425947
-200.0,200,9.52128
-200.0,200,9.620751
-200.0,200,9.724785
-200.0,200,9.906924
-200.0,200,10.018752
-200.0,200,10.139167
-200.0,200,10.330125
-200.0,200,10.528145
-200.0,200,10.655754
-200.0,200,10.755966
-200.0,200,10.944426
-200.0,200,11.158037
-200.0,200,11.275337
-200.0,200,11.410464
-200.0,200,11.660995
-200.0,200,11.874052
-200.0,200,11.996833
-200.0,200,12.155398
-200.0,200,12.359165
-200.0,200,12.566366
-177.0,177,12.742743
-200.0,200,12.853502
-200.0,200,12.98024
-200.0,200,13.154939
-200.0,200,13.29773
-200.0,200,13.490761
-200.0,200,13.676466
-155.0,155,13.89835
-200.0,200,14.121923
-200.0,200,14.359275
-200.0,200,14.59357
-186.0,186,14.888034
-200.0,200,15.128538
-200.0,200,15.309767
-200.0,200,15.499128
-200.0,200,15.708382
-200.0,200,15.957939
-200.0,200,16.18581
-200.0,200,16.376693
-200.0,200,16.635089
-200.0,200,16.781882
-200.0,200,16.997406
-200.0,200,17.200908
-200.0,200,17.316176
-200.0,200,17.462793
-200.0,200,17.689145
-200.0,200,17.836823
-200.0,200,17.960602
-200.0,200,18.208571
-200.0,200,18.352637
-200.0,200,18.459731
-200.0,200,18.663727
-200.0,200,18.852772
-200.0,200,18.969884
-200.0,200,19.152671
-200.0,200,19.430957
-200.0,200,19.673606
-200.0,200,19.908171
-200.0,200,20.074715
-200.0,200,20.284762
-200.0,200,20.414165
-200.0,200,20.574688
-200.0,200,20.677974
-200.0,200,20.819262
-200.0,200,21.034229
-200.0,200,21.252315
-200.0,200,21.515351
-200.0,200,21.800737
-200.0,200,22.110198
-200.0,200,22.269199
-200.0,200,22.42642
-200.0,200,22.600426
-200.0,200,22.810211
-200.0,200,23.053838
-200.0,200,23.214559
-200.0,200,23.418456
-200.0,200,23.58437
-200.0,200,23.711953
-200.0,200,23.844043
-200.0,200,23.975125
-200.0,200,24.197669
-200.0,200,24.331856
-200.0,200,24.463688
-200.0,200,24.661816
-200.0,200,24.823491
-200.0,200,24.937112
-200.0,200,25.129529
-200.0,200,25.336833
-200.0,200,25.460802
-200.0,200,25.629557
-200.0,200,25.874373
-200.0,200,26.057582
-200.0,200,26.223688
-200.0,200,26.490978
-200.0,200,26.697379
-200.0,200,26.915559
-200.0,200,27.088831
-200.0,200,27.223352
-200.0,200,27.35297
-200.0,200,27.46927
-200.0,200,27.587806
-200.0,200,27.69118
-200.0,200,27.795447
-200.0,200,27.897762
-200.0,200,28.001544
-200.0,200,28.103845
-200.0,200,28.209931
-200.0,200,28.326018
-200.0,200,28.444876
-200.0,200,28.709467
-200.0,200,28.815799
-200.0,200,28.923081
-200.0,200,29.119596
-200.0,200,29.369137
-200.0,200,29.539042
-200.0,200,29.788981
-200.0,200,29.93603
-200.0,200,30.046842
-200.0,200,30.224513
-200.0,200,30.399609
-200.0,200,30.533311
-200.0,200,30.74904
-200.0,200,30.879056
-200.0,200,31.004599
-200.0,200,31.255392
-200.0,200,31.606737
-200.0,200,31.811632
-200.0,200,31.959879
-200.0,200,32.160846
-200.0,200,32.338406
-200.0,200,32.496879
-200.0,200,32.707385
-200.0,200,32.814515
-200.0,200,32.931867
-200.0,200,33.056236
-200.0,200,33.173806
-200.0,200,33.282636
-200.0,200,33.38474
-200.0,200,33.488911
-200.0,200,33.59176
-200.0,200,33.694649
-200.0,200,33.796604
-200.0,200,33.898714
-200.0,200,34.000799
-200.0,200,34.104694
-200.0,200,34.212812
-200.0,200,34.318792
-200.0,200,34.434809
-200.0,200,34.565998
-200.0,200,34.678571
-200.0,200,34.788822
-200.0,200,34.895884
-200.0,200,35.000841
-200.0,200,35.123779
-200.0,200,35.349355
-200.0,200,35.580892
-200.0,200,35.790201
-200.0,200,36.018931
-200.0,200,36.1585
-200.0,200,36.3272
-200.0,200,36.485182
-200.0,200,36.594836
-200.0,200,36.702824
-200.0,200,36.913143
-200.0,200,37.056282
-200.0,200,37.31272
-200.0,200,37.539043
-200.0,200,37.670321
-200.0,200,37.859114
-200.0,200,37.987105
-200.0,200,38.183757
-200.0,200,38.312731
-200.0,200,38.503891
-200.0,200,38.661046
-200.0,200,38.828985
-200.0,200,39.040362
-200.0,200,39.168215
