episode,reward,episode_length,timestep,reward_ma_50,reward_ma_100
1,-888.442874,29,29,-888.442874,-888.442874
2,-384.085937,30,59,-636.2644055,-636.2644055
3,-484.804312,29,88,-585.7777076666666,-585.7777076666666
4,-487.239087,28,116,-561.1430525,-561.1430525
5,-887.935139,26,142,-626.5014698,-626.5014698
6,-488.571653,26,168,-603.513167,-603.513167
7,-988.770644,41,209,-658.5499494285714,-658.5499494285714
8,-984.65687,46,255,-699.3133144999999,-699.3133144999999
9,-892.016758,26,281,-720.7248082222222,-720.7248082222222
10,-989.054277,28,309,-747.5577551,-747.5577551
11,-985.600014,30,339,-769.1979604545454,-769.1979604545454
12,-988.193257,30,369,-787.4475685000001,-787.4475685000001
13,-986.134994,40,409,-802.7312166153847,-802.7312166153847
14,-985.522951,30,439,-815.7877690714286,-815.7877690714286
15,-489.939064,27,466,-794.0645220666667,-794.0645220666667
16,-985.014973,28,494,-805.99892525,-805.99892525
17,-988.971747,29,523,-816.7620324117647,-816.7620324117647
18,-392.324943,24,547,-793.1821941111111,-793.1821941111111
19,-488.399951,22,569,-777.1410234210526,-777.1410234210526
20,-985.827039,29,598,-787.5753242,-787.5753242
21,-389.284221,23,621,-768.6090811904762,-768.6090811904762
22,-886.247497,28,649,-773.9562819090909,-773.9562819090909
23,-890.459002,25,674,-779.0216175652174,-779.0216175652174
24,-985.691573,47,721,-787.6328657083333,-787.6328657083333
25,-988.819549,26,747,-795.6803330399999,-795.6803330399999
26,-888.099662,30,777,-799.2349226153846,-799.2349226153846
27,-989.274859,26,803,-806.2734387777778,-806.2734387777778
28,-986.820345,35,838,-812.7215425714286,-812.7215425714286
29,-979.376448,46,884,-818.4682634482758,-818.4682634482758
30,-989.439462,29,913,-824.1673033999999,-824.1673033999999
31,-990.525166,23,936,-829.5336860645161,-829.5336860645161
32,-988.085996,29,965,-834.48844575,-834.48844575
33,-987.966946,31,996,-839.1393093939394,-839.1393093939394
34,-989.049366,20,1016,-843.5484287058823,-843.5484287058823
35,-491.11953,25,1041,-833.4790316,-833.4790316
36,-990.465884,23,1064,-837.8397775,-837.8397775
37,-985.709944,26,1090,-841.8362684864865,-841.8362684864865
38,-987.345431,30,1120,-845.6654569736842,-845.6654569736842
39,-991.00856,20,1140,-849.3922032051281,-849.3922032051281
40,-987.117376,30,1170,-852.835332525,-852.835332525
41,-987.951989,29,1199,-856.1308607317073,-856.1308607317073
42,-983.608273,32,1231,-859.1660372142857,-859.1660372142857
43,-887.393778,29,1260,-859.8224963023255,-859.8224963023255
44,-994.250574,20,1280,-862.8776798863637,-862.8776798863637
45,-991.983107,21,1301,-865.7466893777778,-865.7466893777778
46,-986.101205,63,1364,-868.3630918913044,-868.3630918913044
47,-990.378334,27,1391,-870.9591608723405,-870.9591608723405
48,-892.102015,18,1409,-871.399637,-871.399637
49,-987.90819,30,1439,-873.7773625714286,-873.7773625714286
50,-991.671781,28,1467,-876.13525094,-876.13525094
51,-387.847419,31,1498,-866.1233418400001,-866.5609797254903
52,-992.087643,19,1517,-878.2833759600002,-868.9749540192308
53,-987.463516,30,1547,-888.33656004,-871.210587264151
54,-288.750918,25,1572,-884.36679666,-860.4242970925925
55,-988.585424,30,1602,-886.37980236,-862.7544994
56,-989.126657,27,1629,-896.3909024400001,-865.0111450714286
57,-991.609432,19,1648,-896.4476781999999,-867.2321676491227
58,-486.783389,26,1674,-886.4902085800001,-860.672705948276
59,-984.42853,30,1704,-888.33844402,-862.7702622881357
60,-892.253827,20,1724,-886.40243502,-863.2616550333333
61,-789.623914,22,1746,-882.48291302,-862.0544789508197
62,-992.13344,25,1771,-882.5617166800001,-864.1525267096774
63,-988.558093,26,1797,-882.6101786600001,-866.1272182380952
64,-988.277,25,1822,-882.66525964,-868.035808578125
65,-990.656281,22,1844,-892.6796039799999,-869.9222773846154
66,-989.447177,25,1869,-892.76824806,-871.7332607121213
67,-994.645435,20,1889,-892.8817218199999,-873.5677707761193
68,-987.816482,23,1912,-904.7915526,-875.247898882353
69,-989.630497,24,1936,-914.8161635199999,-876.9056176956522
70,-988.079191,26,1962,-914.86120656,-878.4938116
71,-989.021051,20,1982,-926.85594316,-880.0505332816902
72,-987.285487,28,2010,-928.87670296,-881.539907638889
73,-992.918475,19,2029,-930.92589242,-883.0656414383561
74,-990.465414,24,2053,-931.0213692399999,-884.5169897162162
75,-992.442807,20,2073,-931.0938343999999,-885.9560006133333
76,-992.999717,19,2092,-933.1918354999999,-887.3644705657895
77,-983.784111,33,2125,-933.0820205399999,-888.6166736883116
78,-986.05036,35,2160,-933.0666208399999,-889.8658235128206
79,-989.253469,26,2186,-933.2641612599999,-891.1238949746835
80,-992.034895,20,2206,-933.31606992,-892.3852824749999
81,-989.057483,23,2229,-933.28671626,-893.5787664320987
82,-986.324477,25,2254,-933.25148588,-894.7098116829268
83,-990.288291,24,2278,-933.29791278,-895.8613596265061
84,-990.319941,23,2301,-933.3233242800001,-896.985866547619
85,-985.40759,24,2325,-943.2090854799999,-898.026122117647
86,-990.792031,19,2344,-943.2156084200001,-899.1047954767442
87,-989.901329,21,2365,-943.29943612,-900.1484337931034
88,-990.810651,22,2387,-943.3687405200002,-901.1786862613636
89,-989.152026,22,2409,-943.33160984,-902.1671507528091
90,-990.390782,26,2435,-943.39707796,-903.1474133222222
91,-991.390792,26,2461,-943.4658540199999,-904.1171207802198
92,-990.694637,23,2484,-943.6075813,-905.0581807391303
93,-989.611664,23,2507,-945.65193902,-905.9673579784946
94,-990.375696,23,2530,-945.5744414599999,-906.8653190212767
95,-989.709038,22,2552,-945.5289600799999,-907.737358168421
96,-988.272855,31,2583,-945.57239308,-908.57626959375
97,-989.380777,23,2606,-945.55244194,-909.4093057525772
98,-992.685165,21,2627,-947.56410494,-910.2590594183673
99,-992.07402,25,2652,-947.6474215399999,-911.0854731616162
100,-990.729331,26,2678,-947.62857254,-911.8819117400001
101,-989.271379,35,2713,-959.6570517399999,-912.89019679
102,-987.010842,20,2733,-959.55551572,-918.91944584
103,-989.353736,24,2757,-959.59332012,-923.9649400799999
104,-992.892112,24,2781,-973.676144,-929.02147033
105,-990.571916,25,2806,-973.71587384,-930.0478380999999
106,-986.592552,30,2836,-973.66519174,-935.0280470900001
107,-988.968177,19,2855,-973.61236664,-935.03002242
108,-990.336624,25,2880,-983.68343134,-935.08681996
109,-484.854594,33,2913,-973.6919526199999,-931.0151983199999
110,-985.029721,31,2944,-975.5474705,-930.9749527600001
111,-985.125588,34,2978,-979.4575039800001,-930.9702085
112,-988.695718,28,3006,-979.3887495399999,-930.97523311
113,-987.991476,31,3037,-979.3774171999999,-930.99379793
114,-989.439092,26,3063,-979.4006590399999,-931.03295934
115,-880.041769,38,3101,-977.1883688,-934.93398639
116,-988.733533,29,3130,-977.17409592,-934.97117199
117,-980.035504,45,3175,-976.8818973,-934.88180956
118,-486.804116,40,3215,-966.8616499799999,-935.82660129
119,-986.299704,29,3244,-966.7950341200001,-940.80559882
120,-790.225294,29,3273,-962.83795618,-938.8495813700001
121,-489.253441,35,3308,-952.84260398,-939.8492735699999
122,-988.439929,34,3342,-952.8656928199999,-940.8711978900001
123,-490.713835,23,3365,-942.82160002,-936.87374622
124,-885.876468,32,3397,-940.7298211,-935.87559517
125,-384.036948,44,3441,-928.56170392,-929.82776916
126,-882.855143,42,3483,-926.3588124400001,-929.77532397
127,-887.949101,28,3511,-924.44211224,-928.76206639
128,-879.606098,49,3560,-922.3132270000001,-927.68992392
129,-983.48822,38,3598,-922.19792202,-927.7310416400001
130,-983.542287,41,3639,-922.02806986,-927.67206989
131,-877.359698,40,3679,-919.7941141599999,-926.5404152100001
132,-992.137178,29,3708,-919.9103681800001,-926.5809270299999
