Step,Reward,Optimal action (%)
197,0.06166356888959695,0.102
198,-0.017632009910690114,0.09
199,-0.06469794481553412,0.0895
200,0.021223756959672643,0.104
201,0.01502929441939157,0.097
202,0.01506156603944394,0.1105
203,-0.010651540733127076,0.101
204,0.009643948988975868,0.089
205,0.000724823259648383,0.1
206,-0.059864220465128126,0.1055
207,0.04860716329317502,0.102
208,0.01956474899955667,0.1
209,0.02039219896665086,0.11
210,-0.003984263760091109,0.098
211,-0.03404987673242102,0.102
212,0.0009732591855872556,0.0935
213,0.02260766513301587,0.104
214,0.03129406908751928,0.1015
215,0.06012119319055241,0.0995
216,0.0039298687404367896,0.1005
217,0.0036224268547130184,0.084
218,-0.010331396285671462,0.0965
219,0.06320450418129589,0.1055
220,-0.0023959386763310222,0.098
221,0.017087204102432512,0.101
222,0.009657155920174399,0.093
223,-0.008729446639268139,0.0985
224,0.042651693892469006,0.098
225,0.001840318609679848,0.114
226,-0.010444836918010214,0.102
227,-0.01751840476982433,0.1015
228,-0.03219449873181824,0.0985
229,-0.0197860616033239,0.087
230,0.01911711206151332,0.094
231,0.012140526729254253,0.0945
232,-0.025862075860207917,0.103
233,-0.02687150907844544,0.101
234,-0.03710395542950646,0.0925
235,-0.0004596970528375988,0.101
236,0.01229292382979974,0.0825
237,-0.014535676319754555,0.0985
238,-0.0039060600494876113,0.095
239,-0.05757009634780425,0.088
240,-0.033914307204380094,0.099
241,0.013927024848313669,0.114
242,0.022536600724032272,0.1065
243,-0.005120820433188893,0.096
244,0.01485789438499362,0.113
245,0.037026199151235374,0.1015
246,-0.003931407686725635,0.093
247,0.0060629306957224495,0.087
248,-0.05760163617008896,0.1015
249,-0.0034883497970984944,0.104
250,-0.02748856926811905,0.103
251,-0.026367033207946786,0.0965
252,-0.008955592329685095,0.097
253,-0.012420984817987606,0.097
254,0.05969080189184051,0.0995
255,-0.07581384851997598,0.103
256,-0.07078279922770712,0.098
257,0.007171772617299063,0.094
258,0.019581364132191432,0.0965
259,-0.034792185969599536,0.094
260,-0.06100022884811432,0.0945
261,0.025326421892558428,0.091
262,-0.004104339412751157,0.095
263,-0.001814901383140741,0.103
264,0.019211010046833517,0.1105
265,-0.058668748800416025,0.0915
266,-0.027914281517050415,0.105
267,0.029895738737095043,0.0925
268,-0.06564928813082818,0.0915
269,0.023316476094736395,0.1005
270,-0.046119464854702655,0.0915
271,0.044103936625263324,0.1115
272,-0.01678511980593689,0.1035
273,-0.05729439321421912,0.0865
