Episodio,Recompensa_Promedio,Desviacion_Estandar
1.020000000000000000e+03,-9.497087465370848136e+00,2.757575511225240916e-05
1.030000000000000000e+03,-9.489788664651289452e+00,1.304253402238941817e-04
1.040000000000000000e+03,-9.498134968783759291e+00,8.964610582292031893e-03
1.050000000000000000e+03,-9.507154127658580478e+00,1.730590868867931675e-02
1.060000000000000000e+03,-9.512057271975111306e+00,7.436878406577918099e-03
1.070000000000000000e+03,-9.490904893295635247e+00,2.189887321283645605e-02
1.080000000000000000e+03,-9.511527822838184321e+00,7.995370433341975058e-03
1.090000000000000000e+03,-9.495799813526755173e+00,5.482345339763661229e-03
1.100000000000000000e+03,-9.525129517686515612e+00,3.355981358635240497e-03
1.110000000000000000e+03,-9.504413163893691063e+00,8.250982521227356870e-04
1.120000000000000000e+03,-9.502985468285000792e+00,9.199249418578858695e-03
1.130000000000000000e+03,-9.499169287290254005e+00,1.481077181620893413e-02
1.140000000000000000e+03,-9.495967431297341221e+00,8.056294085582393905e-03
1.150000000000000000e+03,-9.511220809749323379e+00,9.416511432542407078e-03
1.160000000000000000e+03,-9.510759475581270550e+00,1.034390487579717188e-02
1.170000000000000000e+03,-9.508899435972333336e+00,1.872193268920518960e-02
1.180000000000000000e+03,-9.507132566864910928e+00,1.103266745799214021e-02
1.190000000000000000e+03,-9.486115715884693600e+00,1.268749175573802290e-02
1.200000000000000000e+03,-9.501758324441704318e+00,1.858263738113485886e-02
1.210000000000000000e+03,-9.495482831800991619e+00,2.048068866199592719e-02
1.220000000000000000e+03,-9.501152098498778287e+00,3.468019170743019686e-03
1.230000000000000000e+03,-9.501188733024761746e+00,2.759406878110493011e-02
1.240000000000000000e+03,-9.494993824360339119e+00,4.254748769589866697e-03
1.250000000000000000e+03,-9.490302752967849642e+00,1.241533459248600479e-03
1.260000000000000000e+03,-9.494789005758381251e+00,2.848292837928045884e-02
1.270000000000000000e+03,-9.497727020738171433e+00,2.274336933125820429e-02
1.280000000000000000e+03,-9.517994400997848103e+00,1.294321774543938375e-02
1.290000000000000000e+03,-9.511738564342703484e+00,1.044044033986502029e-02
1.300000000000000000e+03,-9.496378185348319789e+00,8.761055417035201742e-03
1.310000000000000000e+03,-9.507140579891238730e+00,7.441558357739630480e-03
1.320000000000000000e+03,-9.493663173987233250e+00,4.019752601940318470e-03
1.330000000000000000e+03,-9.479520383679908235e+00,3.441317148170686124e-02
1.340000000000000000e+03,-9.515778966594462318e+00,2.455826123285653750e-02
1.350000000000000000e+03,-9.511804004365671972e+00,1.606699704979508425e-02
1.360000000000000000e+03,-9.477550858520221055e+00,3.025971432803942207e-02
1.370000000000000000e+03,-9.478790716449582376e+00,4.353792430173086814e-03
1.380000000000000000e+03,-9.482536382242120254e+00,1.803794691786730908e-02
1.390000000000000000e+03,-9.514735144414487422e+00,1.037103359809332659e-02
1.400000000000000000e+03,-9.502181055435210411e+00,6.553535793335285575e-03
1.410000000000000000e+03,-9.490138054875536966e+00,1.896814135339486285e-02
1.420000000000000000e+03,-9.504605102131101546e+00,8.741023571018580185e-03
1.430000000000000000e+03,-9.492388279970644049e+00,4.902617460430747087e-03
1.440000000000000000e+03,-9.485633286580457124e+00,9.122707554229947391e-04
1.450000000000000000e+03,-9.504770400718703272e+00,2.207685002442261180e-02
1.460000000000000000e+03,-9.508886165234766707e+00,2.197502966656461609e-02
1.470000000000000000e+03,-9.498922162303813366e+00,1.097356842705821123e-02
1.480000000000000000e+03,-9.523309142522922599e+00,1.296400287413845831e-02
1.490000000000000000e+03,-9.485088957679931099e+00,2.243106447011733451e-02
1.500000000000000000e+03,-9.492906610474859619e+00,9.902486554189238177e-03
1.510000000000000000e+03,-9.494276537222344103e+00,9.011790685777398835e-03
1.520000000000000000e+03,-9.486269375000237147e+00,5.602122271684883970e-03
1.530000000000000000e+03,-9.466108045379773017e+00,9.227690053279502536e-04
1.540000000000000000e+03,-9.480228002326363423e+00,1.466640418861508977e-02
1.550000000000000000e+03,-9.461996901343386668e+00,2.087690759871208002e-02
1.560000000000000000e+03,-9.495389503967739842e+00,2.884465304511252270e-03
1.570000000000000000e+03,-9.494862574455968485e+00,8.363839202473855039e-03
1.580000000000000000e+03,-9.524308293308166640e+00,7.898324282661128848e-03
1.590000000000000000e+03,-9.477351613049087575e+00,1.930929576663764635e-02
1.600000000000000000e+03,-9.489625779378293657e+00,4.069257109640567194e-03
1.610000000000000000e+03,-9.497693301540692801e+00,1.572468800072890360e-03
1.620000000000000000e+03,-9.507373831803226594e+00,8.620748574488246163e-03
1.630000000000000000e+03,-9.493649276875103737e+00,4.661410720479430836e-03
1.640000000000000000e+03,-9.501180806639613508e+00,2.410161018046252934e-03
1.650000000000000000e+03,-9.486192318625391806e+00,9.515645121124016725e-03
1.660000000000000000e+03,-9.470119892744488510e+00,2.343352291465539139e-02
1.670000000000000000e+03,-9.496962878238049299e+00,1.068386344062588478e-02
1.680000000000000000e+03,-9.501433550390135707e+00,1.545756017095012425e-02
1.690000000000000000e+03,-9.509474436991240509e+00,1.934705580255968727e-02
1.700000000000000000e+03,-9.478931513853865454e+00,9.268823933351377775e-03
1.710000000000000000e+03,-9.507141073393970743e+00,6.985231815410664069e-03
1.720000000000000000e+03,-9.499111953818861309e+00,1.572462038233002346e-02
1.730000000000000000e+03,-9.472055218151897549e+00,2.925124078873775346e-02
1.740000000000000000e+03,-9.505172239409235502e+00,6.516888839728451899e-03
1.750000000000000000e+03,-9.511595743142677861e+00,1.256645780197640505e-02
1.760000000000000000e+03,-9.470445311772724750e+00,2.093478256505409973e-02
1.770000000000000000e+03,-9.495267722748204520e+00,1.809462274492013023e-02
1.780000000000000000e+03,-9.477308097513409635e+00,1.731389322702803213e-02
1.790000000000000000e+03,-9.518910551239624596e+00,1.040425940852074405e-03
1.800000000000000000e+03,-9.494873785453460613e+00,1.916888101838765124e-02
1.810000000000000000e+03,-9.508611086741673546e+00,3.234850537930711312e-02
1.820000000000000000e+03,-9.487799579801965422e+00,2.675157277273498835e-02
1.830000000000000000e+03,-9.517279654287975177e+00,1.117522738526144366e-02
1.840000000000000000e+03,-9.530244874896165896e+00,4.057296568158896832e-03
1.850000000000000000e+03,-9.505055824031044764e+00,2.844409437316031131e-02
1.860000000000000000e+03,-9.491499627893521307e+00,3.960682545024241108e-03
1.870000000000000000e+03,-9.494099302036428156e+00,1.888718754868978777e-02
1.880000000000000000e+03,-9.491150810775735636e+00,4.512179385591785774e-03
1.890000000000000000e+03,-9.494446324259092407e+00,9.425951670415599892e-03
1.900000000000000000e+03,-9.489317256137098866e+00,1.232518488159417558e-02
1.910000000000000000e+03,-9.503119079726811691e+00,1.068463991214940734e-02
1.920000000000000000e+03,-9.530868120999750559e+00,4.037728256049533115e-03
1.930000000000000000e+03,-9.513501137502080596e+00,7.442720437280669898e-03
1.940000000000000000e+03,-9.491834286380001373e+00,8.348990438453718355e-03
1.950000000000000000e+03,-9.508475817231790472e+00,5.558919601055478665e-03
1.960000000000000000e+03,-9.484327661800943332e+00,1.163969919572327427e-02
1.970000000000000000e+03,-9.487393276535792452e+00,1.367516555650816201e-02
1.980000000000000000e+03,-9.489637932445251778e+00,2.201606002449008059e-02
1.990000000000000000e+03,-9.497332489647577702e+00,9.603163568018047158e-03
2.000000000000000000e+03,-9.496354299874221638e+00,8.463692087792296093e-03
2.010000000000000000e+03,-9.480399651184498566e+00,5.365784863726297260e-03
2.020000000000000000e+03,-9.491308833200015727e+00,7.311011491912822180e-03
2.030000000000000000e+03,-9.491792758109546924e+00,1.578725429103489120e-02
2.040000000000000000e+03,-9.524050990322903587e+00,2.206850318209951922e-02
2.050000000000000000e+03,-9.502083303341752440e+00,2.411613739106144294e-03
2.060000000000000000e+03,-9.511202941231747587e+00,1.445776022990585830e-02
