Episodio,Q_learning,SARSA,16_step_SARSA
1,256.73333333333335,266.93333333333334,1068.3
2,135.63333333333333,142.03333333333333,901.5333333333333
3,143.26666666666668,97.26666666666667,819.0
4,81.63333333333334,139.7,682.3666666666667
5,176.96666666666667,175.16666666666666,736.7666666666667
6,159.0,156.96666666666667,563.6666666666666
7,264.3333333333333,232.7,803.9333333333333
8,207.13333333333333,118.43333333333334,670.3
9,253.06666666666666,214.0,707.1
10,176.93333333333334,157.23333333333332,612.0
11,185.5,144.7,735.6
12,184.83333333333334,130.46666666666667,905.7
13,158.7,129.7,968.1
14,133.2,120.23333333333333,935.0333333333333
15,136.73333333333332,117.03333333333333,701.4333333333333
16,156.36666666666667,149.86666666666667,668.0
17,165.4,108.86666666666666,614.0666666666667
18,111.73333333333333,128.23333333333332,605.6333333333333
19,143.4,136.36666666666667,538.5
20,160.6,176.73333333333332,642.4666666666667
21,122.33333333333333,114.06666666666666,648.1333333333333
22,149.86666666666667,104.23333333333333,512.8333333333334
23,113.3,114.2,377.1333333333333
24,177.7,113.4,383.46666666666664
25,146.23333333333332,139.2,395.03333333333336
26,143.3,95.53333333333333,382.7
27,145.23333333333332,125.7,378.56666666666666
28,118.26666666666667,103.2,477.56666666666666
29,143.3,110.4,306.3
30,159.53333333333333,152.8,307.4
31,126.93333333333334,128.4,257.96666666666664
32,172.96666666666667,133.56666666666666,261.93333333333334
33,133.8,108.26666666666667,221.26666666666668
34,125.16666666666667,110.06666666666666,258.8
35,154.16666666666666,107.3,276.7
36,111.8,95.63333333333334,248.96666666666667
37,95.9,112.1,263.1666666666667
38,155.56666666666666,124.43333333333334,179.16666666666666
39,144.36666666666667,140.96666666666667,281.8333333333333
40,175.66666666666666,97.73333333333333,127.06666666666666
41,170.5,135.1,161.36666666666667
42,147.73333333333332,119.7,164.76666666666668
43,134.56666666666666,122.13333333333334,153.8
44,142.6,118.7,63.7
45,143.73333333333332,116.9,80.53333333333333
46,182.6,118.9,110.96666666666667
47,170.93333333333334,164.53333333333333,103.0
48,147.2,99.7,69.46666666666667
49,152.36666666666667,119.5,86.2
50,157.86666666666667,99.43333333333334,76.93333333333334
51,147.23333333333332,132.73333333333332,115.53333333333333
52,144.1,94.73333333333333,91.53333333333333
53,166.73333333333332,101.1,76.0
54,169.5,131.86666666666667,106.23333333333333
55,133.53333333333333,121.3,65.36666666666666
56,168.7,93.3,60.53333333333333
57,157.46666666666667,128.9,68.8
58,143.06666666666666,112.36666666666666,98.43333333333334
59,182.36666666666667,110.86666666666666,102.53333333333333
60,155.83333333333334,120.3,123.26666666666667
61,162.13333333333333,133.46666666666667,107.16666666666667
62,154.26666666666668,147.9,116.76666666666667
63,183.03333333333333,108.53333333333333,66.26666666666667
64,157.46666666666667,116.06666666666666,100.46666666666667
65,172.26666666666668,102.93333333333334,105.9
66,138.96666666666667,116.06666666666666,109.0
67,171.33333333333334,119.56666666666666,76.63333333333334
68,150.33333333333334,126.66666666666667,104.73333333333333
69,151.03333333333333,110.86666666666666,140.7
70,176.53333333333333,120.1,102.6
71,130.2,91.33333333333333,116.53333333333333
72,150.16666666666666,105.43333333333334,58.4
73,175.9,147.5,69.03333333333333
74,166.56666666666666,87.96666666666667,46.6
75,115.36666666666666,117.8,45.53333333333333
76,145.26666666666668,123.53333333333333,45.166666666666664
77,170.23333333333332,112.86666666666666,43.233333333333334
78,178.06666666666666,136.2,50.56666666666667
79,148.03333333333333,128.2,49.4
80,161.56666666666666,124.13333333333334,53.5
81,170.8,121.16666666666667,81.16666666666667
82,175.86666666666667,102.56666666666666,58.266666666666666
83,135.93333333333334,113.33333333333333,69.26666666666667
84,165.13333333333333,132.36666666666667,55.06666666666667
85,193.7,100.33333333333333,59.333333333333336
86,177.1,112.26666666666667,49.03333333333333
87,183.5,145.93333333333334,53.5
88,131.86666666666667,143.96666666666667,63.56666666666667
89,164.06666666666666,140.9,97.86666666666666
90,142.23333333333332,106.36666666666666,96.96666666666667
91,145.2,117.8,104.9
92,171.63333333333333,138.5,96.0
93,153.96666666666667,108.8,105.9
94,175.9,134.23333333333332,69.1
95,133.46666666666667,125.23333333333333,118.53333333333333
96,158.56666666666666,93.83333333333333,99.43333333333334
97,168.8,105.93333333333334,142.73333333333332
98,157.56666666666666,128.4,45.8
99,171.06666666666666,129.46666666666667,45.1
100,126.26666666666667,104.43333333333334,84.36666666666666
101,146.33333333333334,121.66666666666667,76.2
102,183.83333333333334,113.0,68.2
103,144.63333333333333,109.8,71.96666666666667
104,167.6,137.4,71.06666666666666
105,165.63333333333333,138.73333333333332,58.43333333333333
106,148.33333333333334,126.13333333333334,66.23333333333333
107,129.63333333333333,125.46666666666667,88.93333333333334
108,167.36666666666667,169.33333333333334,40.46666666666667
109,166.2,120.26666666666667,38.0
110,156.66666666666666,116.43333333333334,38.233333333333334
111,178.16666666666666,118.9,40.666666666666664
112,156.3,124.26666666666667,65.76666666666667
113,140.83333333333334,144.1,44.7
114,150.5,101.26666666666667,74.23333333333333
115,130.23333333333332,112.9,86.2
116,173.33333333333334,111.96666666666667,55.93333333333333
117,178.46666666666667,139.8,38.166666666666664
118,120.16666666666667,130.63333333333333,39.56666666666667
119,166.83333333333334,134.4,36.1
120,170.0,102.1,48.166666666666664
121,158.6,137.4,36.1
122,187.2,143.5,50.333333333333336
123,156.53333333333333,81.63333333333334,40.233333333333334
124,224.53333333333333,144.2,38.833333333333336
125,181.86666666666667,110.93333333333334,44.9
126,168.0,117.93333333333334,38.43333333333333
127,177.4,118.33333333333333,44.93333333333333
128,165.23333333333332,95.53333333333333,46.03333333333333
129,211.36666666666667,120.26666666666667,36.53333333333333
130,159.53333333333333,120.2,38.7
131,163.8,130.96666666666667,47.833333333333336
132,154.7,115.6,48.9
133,136.7,150.2,41.53333333333333
134,163.5,117.36666666666666,42.93333333333333
135,180.4,124.3,35.96666666666667
136,175.7,112.06666666666666,39.46666666666667
137,158.7,147.76666666666668,35.2
138,146.3,134.86666666666667,41.7
139,151.96666666666667,108.6,39.03333333333333
140,181.26666666666668,138.3,43.2
141,150.03333333333333,151.93333333333334,40.7
142,161.73333333333332,140.23333333333332,39.2
143,105.76666666666667,106.13333333333334,38.03333333333333
144,150.46666666666667,126.7,39.63333333333333
145,150.53333333333333,153.93333333333334,39.63333333333333
146,173.66666666666666,135.56666666666666,45.06666666666667
147,150.83333333333334,149.33333333333334,45.06666666666667
148,175.6,124.2,38.7
149,163.4,144.7,46.4
150,175.5,136.73333333333332,43.36666666666667
151,216.73333333333332,121.5,50.9
152,199.13333333333333,112.96666666666667,48.233333333333334
153,164.06666666666666,112.03333333333333,42.43333333333333
154,213.86666666666667,148.26666666666668,41.86666666666667
155,181.0,127.13333333333334,44.8
156,171.63333333333333,151.9,36.2
157,166.53333333333333,123.73333333333333,35.3
158,155.63333333333333,145.0,38.266666666666666
159,187.73333333333332,114.4,40.56666666666667
160,196.1,136.26666666666668,38.9
161,142.23333333333332,129.5,40.46666666666667
162,168.93333333333334,125.63333333333334,39.2
163,162.6,152.73333333333332,42.1
164,152.53333333333333,141.5,44.96666666666667
165,163.33333333333334,130.7,38.9
166,173.8,150.36666666666667,46.233333333333334
167,183.16666666666666,124.36666666666666,35.266666666666666
168,182.83333333333334,161.06666666666666,50.666666666666664
169,184.3,123.16666666666667,42.766666666666666
170,158.7,108.96666666666667,35.03333333333333
171,216.73333333333332,131.26666666666668,39.2
172,161.86666666666667,167.63333333333333,40.3
173,152.0,165.2,34.86666666666667
174,154.8,134.33333333333334,37.3
175,199.76666666666668,110.16666666666667,38.03333333333333
176,138.0,144.3,36.96666666666667
177,183.4,118.63333333333334,34.233333333333334
178,168.43333333333334,177.36666666666667,34.36666666666667
179,187.23333333333332,140.1,43.7
180,187.73333333333332,140.06666666666666,36.333333333333336
181,159.86666666666667,131.1,36.0
182,202.1,123.93333333333334,36.2
183,160.66666666666666,127.96666666666667,39.86666666666667
184,177.23333333333332,130.6,35.96666666666667
185,179.76666666666668,154.0,34.733333333333334
186,179.1,138.0,34.733333333333334
187,178.33333333333334,141.43333333333334,42.63333333333333
188,149.06666666666666,170.33333333333334,40.13333333333333
189,187.26666666666668,124.1,38.53333333333333
190,174.96666666666667,140.66666666666666,34.6
191,163.43333333333334,151.53333333333333,33.96666666666667
192,172.63333333333333,127.5,40.06666666666667
193,178.56666666666666,141.43333333333334,33.766666666666666
194,156.66666666666666,154.46666666666667,34.3
195,180.23333333333332,129.63333333333333,39.266666666666666
196,200.73333333333332,148.0,34.13333333333333
197,187.23333333333332,140.5,33.46666666666667
198,200.3,145.46666666666667,34.3
199,183.36666666666667,163.83333333333334,38.96666666666667
200,184.0,138.86666666666667,34.36666666666667
201,161.13333333333333,131.56666666666666,36.333333333333336
202,174.13333333333333,141.1,41.166666666666664
203,204.4,145.16666666666666,42.3
204,185.33333333333334,184.03333333333333,36.5
205,161.6,131.73333333333332,36.56666666666667
206,188.76666666666668,160.53333333333333,38.86666666666667
207,178.23333333333332,120.63333333333334,33.766666666666666
208,143.73333333333332,132.53333333333333,33.733333333333334
209,163.13333333333333,162.03333333333333,35.4
210,175.2,105.7,38.7
211,193.83333333333334,162.83333333333334,34.166666666666664
212,182.9,124.96666666666667,39.13333333333333
213,144.43333333333334,196.86666666666667,40.56666666666667
214,180.7,96.5,40.4
215,185.8,138.43333333333334,39.6
216,196.9,204.5,38.63333333333333
217,196.8,151.23333333333332,39.86666666666667
218,191.16666666666666,102.3,37.86666666666667
219,222.93333333333334,159.5,35.2
220,173.03333333333333,101.9,36.06666666666667
221,147.33333333333334,159.36666666666667,38.6
222,211.8,151.3,39.2
223,191.86666666666667,168.3,35.96666666666667
224,182.33333333333334,160.96666666666667,39.5
225,185.26666666666668,113.5,34.1
226,181.73333333333332,142.83333333333334,34.86666666666667
227,194.5,190.13333333333333,41.0
228,169.26666666666668,141.8,40.733333333333334
229,169.86666666666667,154.7,43.53333333333333
230,208.6,172.83333333333334,35.2
231,141.2,127.13333333333334,35.43333333333333
232,214.53333333333333,165.83333333333334,35.233333333333334
233,200.86666666666667,145.33333333333334,41.53333333333333
