Episode (x100),Decentralized,Centralized,Competitive
0,924.8333333333334,334.8,27.8
1,76.2,129.0,22.733333333333334
2,54.266666666666666,95.16666666666667,18.3
3,61.93333333333333,104.96666666666667,23.166666666666668
4,55.36666666666667,105.43333333333334,22.566666666666666
5,62.46666666666667,105.53333333333333,23.233333333333334
6,49.43333333333333,80.06666666666666,24.666666666666668
7,50.43333333333333,62.833333333333336,21.4
8,51.6,49.166666666666664,16.766666666666666
9,51.56666666666667,48.03333333333333,23.533333333333335
10,60.5,68.23333333333333,22.733333333333334
11,74.9,50.5,20.266666666666666
12,49.5,44.166666666666664,28.366666666666667
13,52.3,48.166666666666664,23.966666666666665
14,51.766666666666666,53.36666666666667,30.966666666666665
15,48.5,59.3,33.36666666666667
16,61.46666666666667,45.0,20.466666666666665
17,57.166666666666664,55.8,23.633333333333333
18,38.9,59.8,24.833333333333332
19,47.666666666666664,68.96666666666667,24.566666666666666
20,46.4,60.666666666666664,34.53333333333333
21,47.166666666666664,41.86666666666667,22.9
22,45.0,41.833333333333336,28.966666666666665
23,48.166666666666664,50.36666666666667,17.833333333333332
24,45.8,47.733333333333334,27.766666666666666
25,36.93333333333333,52.666666666666664,27.133333333333333
26,42.766666666666666,39.06666666666667,21.866666666666667
27,41.53333333333333,41.8,29.466666666666665
28,45.9,44.233333333333334,22.2
29,43.4,59.13333333333333,20.033333333333335
30,39.733333333333334,34.5,26.0
31,40.63333333333333,49.1,21.0
32,39.86666666666667,53.0,31.1
33,38.166666666666664,41.266666666666666,20.466666666666665
34,38.03333333333333,49.9,28.6
35,33.3,43.833333333333336,21.433333333333334
36,40.86666666666667,46.03333333333333,21.8
37,37.53333333333333,39.233333333333334,22.166666666666668
38,33.6,43.46666666666667,25.5
39,28.033333333333335,34.6,25.666666666666668
40,31.833333333333332,40.1,28.066666666666666
41,47.166666666666664,37.13333333333333,32.46666666666667
42,27.2,47.1,26.233333333333334
43,40.0,54.8,30.333333333333332
44,30.333333333333332,41.3,23.033333333333335
45,26.066666666666666,57.333333333333336,25.9
46,32.166666666666664,58.833333333333336,24.6
47,34.43333333333333,39.93333333333333,33.666666666666664
48,40.5,52.96666666666667,31.5
49,32.86666666666667,54.06666666666667,18.333333333333332
50,37.5,45.7,28.7
51,34.666666666666664,50.233333333333334,37.266666666666666
52,37.56666666666667,53.266666666666666,21.533333333333335
53,36.833333333333336,55.03333333333333,28.633333333333333
54,26.633333333333333,50.8,26.566666666666666
55,34.86666666666667,55.9,30.566666666666666
56,33.166666666666664,47.1,23.933333333333334
57,30.233333333333334,37.666666666666664,30.433333333333334
58,29.4,53.3,28.3
59,29.6,45.833333333333336,23.833333333333332
60,30.4,42.0,23.866666666666667
61,24.4,50.53333333333333,24.7
62,29.4,54.56666666666667,32.03333333333333
63,29.766666666666666,38.3,32.06666666666667
