episode,reward,episode_length,timestep,reward_ma_50,reward_ma_100
1,-984.273059,29,29,-984.273059,-984.273059
2,-988.495331,29,58,-986.384195,-986.384195
3,-983.178122,35,93,-985.315504,-985.315504
4,-988.662219,29,122,-986.1521827500001,-986.1521827500001
5,-885.995443,29,151,-966.1208348,-966.1208348
6,-889.209991,26,177,-953.3023608333333,-953.3023608333333
7,-985.753239,25,202,-957.9382005714286,-957.9382005714286
8,-989.440906,26,228,-961.87603875,-961.87603875
9,-991.682979,23,251,-965.1879210000001,-965.1879210000001
10,-989.069916,22,273,-967.5761205000001,-967.5761205000001
11,-989.326762,24,297,-969.5534515454545,-969.5534515454545
12,-990.839304,21,318,-971.3272725833334,-971.3272725833334
13,-990.948083,21,339,-972.8365656923077,-972.8365656923077
14,-986.517558,22,361,-973.8137794285714,-973.8137794285714
15,-986.140146,30,391,-974.6355372,-974.6355372
16,-987.998225,21,412,-975.4707051875,-975.4707051875
17,-989.968752,21,433,-976.3235314705883,-976.3235314705883
18,-989.250322,28,461,-977.0416865000001,-977.0416865000001
19,-989.753219,21,482,-977.7107145263158,-977.7107145263158
20,-985.813613,26,508,-978.11585945,-978.11585945
21,-990.712619,22,530,-978.7157051428571,-978.7157051428571
22,-990.546566,22,552,-979.2534715454545,-979.2534715454545
23,-986.565781,28,580,-979.5713980434783,-979.5713980434783
24,-990.009108,32,612,-980.006302625,-980.006302625
25,-784.977971,30,642,-972.20516936,-972.20516936
26,-882.408894,36,678,-968.7514664615385,-968.7514664615385
27,-988.742694,21,699,-969.4918822962964,-969.4918822962964
28,-989.745551,26,725,-970.2152276071429,-970.2152276071429
29,-991.643027,23,748,-970.9541172413793,-970.9541172413793
30,-990.467819,21,769,-971.6045739666666,-971.6045739666666
31,-985.954531,24,793,-972.0674758064516,-972.0674758064516
32,-990.189628,23,816,-972.6337930625,-972.6337930625
33,-984.955075,32,848,-973.0071652424243,-973.0071652424243
34,-988.4085,27,875,-973.4601456764707,-973.4601456764707
35,-989.595303,26,901,-973.9211501714285,-973.9211501714285
36,-888.669408,26,927,-971.5530462222222,-971.5530462222222
37,-985.042561,27,954,-971.9176277027027,-971.9176277027027
