#{"t_start": 1748399148.8829088, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.011578
-200.0,200,0.021084
-200.0,200,0.030549
-200.0,200,0.039942
-200.0,200,0.049368
-200.0,200,0.129383
-200.0,200,0.20521
-200.0,200,0.281922
-200.0,200,0.363101
-200.0,200,0.442209
-200.0,200,0.523587
-200.0,200,0.604259
-200.0,200,0.687455
-200.0,200,0.768085
-200.0,200,0.851557
-200.0,200,0.932518
-200.0,200,1.016644
-200.0,200,1.096041
-200.0,200,1.179
-200.0,200,1.262023
-200.0,200,1.348351
-200.0,200,1.43511
-200.0,200,1.519308
-200.0,200,1.60434
-200.0,200,1.68715
-200.0,200,1.772255
-200.0,200,1.857346
-200.0,200,1.942785
-200.0,200,2.030575
-200.0,200,2.116993
-200.0,200,2.20264
-200.0,200,2.290451
-200.0,200,2.377059
-200.0,200,2.465535
-200.0,200,2.550107
-200.0,200,2.635202
-200.0,200,2.723201
-200.0,200,2.818324
-200.0,200,2.907605
-200.0,200,2.995449
-200.0,200,3.088327
-200.0,200,3.18086
-200.0,200,3.270682
-200.0,200,3.361511
-200.0,200,3.477466
-200.0,200,3.567737
-200.0,200,3.683418
-200.0,200,3.776946
-200.0,200,3.868092
-200.0,200,3.9594
-200.0,200,4.051613
-200.0,200,4.140875
-200.0,200,4.238808
-200.0,200,4.337534
-200.0,200,4.434445
-200.0,200,4.536748
-200.0,200,4.628508
-200.0,200,4.724041
-200.0,200,4.821124
-200.0,200,4.913225
-200.0,200,5.016999
-200.0,200,5.106998
-200.0,200,5.206579
-200.0,200,5.297344
-200.0,200,5.402123
-200.0,200,5.494869
-200.0,200,5.590315
-200.0,200,5.682526
-200.0,200,5.773185
-200.0,200,5.866063
-200.0,200,5.970573
-200.0,200,6.07378
-200.0,200,6.169933
-200.0,200,6.282091
-200.0,200,6.378192
-200.0,200,6.470793
-200.0,200,6.562495
-200.0,200,6.655258
-200.0,200,6.747965
-200.0,200,6.840426
-200.0,200,6.937539
-200.0,200,7.030882
-200.0,200,7.129544
-200.0,200,7.253416
-200.0,200,7.346301
-200.0,200,7.441747
-200.0,200,7.551318
-200.0,200,7.678732
-200.0,200,7.774174
-200.0,200,7.871755
-200.0,200,7.966685
-200.0,200,8.060137
-200.0,200,8.156143
-200.0,200,8.254071
-200.0,200,8.356348
-200.0,200,8.490478
-200.0,200,8.641059
-200.0,200,8.736976
-200.0,200,8.834205
-200.0,200,8.930994
-200.0,200,9.029705
-200.0,200,9.155837
-200.0,200,9.269132
-200.0,200,9.39128
-200.0,200,9.48908
-200.0,200,9.603052
-200.0,200,9.700902
-200.0,200,9.798326
-200.0,200,9.895504
-200.0,200,9.996198
-200.0,200,10.10219
-200.0,200,10.201143
-200.0,200,10.302387
-200.0,200,10.402066
-200.0,200,10.506045
-199.0,199,10.609874
-200.0,200,10.708356
-200.0,200,10.803209
-200.0,200,10.904455
-200.0,200,11.008653
-200.0,200,11.108248
-200.0,200,11.210166
-200.0,200,11.310988
-200.0,200,11.414974
-200.0,200,11.517427
-200.0,200,11.61945
-200.0,200,11.714706
-200.0,200,11.814923
-200.0,200,11.930628
-200.0,200,12.033738
-200.0,200,12.141713
-200.0,200,12.245979
-200.0,200,12.364247
-200.0,200,12.467601
-200.0,200,12.570772
-200.0,200,12.679372
-200.0,200,12.780497
-200.0,200,12.879219
-200.0,200,12.978669
-200.0,200,13.0792
-200.0,200,13.18379
-200.0,200,13.286104
-200.0,200,13.385111
-200.0,200,13.4877
-200.0,200,13.588234
-200.0,200,13.695313
-200.0,200,13.798492
-200.0,200,13.911657
-200.0,200,14.041447
-200.0,200,14.145077
-200.0,200,14.246335
-200.0,200,14.351645
-200.0,200,14.456911
-200.0,200,14.564704
-200.0,200,14.699311
-200.0,200,14.814514
-200.0,200,14.922081
-200.0,200,15.05645
-200.0,200,15.1662
-200.0,200,15.265766
-200.0,200,15.368354
-200.0,200,15.471468
-200.0,200,15.578597
-200.0,200,15.681471
-200.0,200,15.787961
-200.0,200,15.890359
-200.0,200,15.993464
-200.0,200,16.107277
-200.0,200,16.218874
-200.0,200,16.335481
-200.0,200,16.461108
-200.0,200,16.570657
-200.0,200,16.682342
-200.0,200,16.790794
-200.0,200,16.892543
-200.0,200,17.009969
-200.0,200,17.124757
-200.0,200,17.229484
-200.0,200,17.334481
-200.0,200,17.44009
-200.0,200,17.544033
-200.0,200,17.651551
-200.0,200,17.753735
-200.0,200,17.861039
-200.0,200,17.96364
-200.0,200,18.069118
-200.0,200,18.172073
-200.0,200,18.274362
-200.0,200,18.375095
-200.0,200,18.476045
-200.0,200,18.577115
-200.0,200,18.700867
-200.0,200,18.807513
-200.0,200,18.908563
-200.0,200,19.021763
-200.0,200,19.127873
-200.0,200,19.265427
-200.0,200,19.375702
-200.0,200,19.490111
-200.0,200,19.617702
-200.0,200,19.723461
-200.0,200,19.824417
-200.0,200,19.936566
-200.0,200,20.04085
-200.0,200,20.168328
-172.0,172,20.257484
-200.0,200,20.361379
-200.0,200,20.465386
-200.0,200,20.567321
-200.0,200,20.673249
-200.0,200,20.778589
-200.0,200,20.88164
-200.0,200,20.986471
-200.0,200,21.089546
-200.0,200,21.192623
-200.0,200,21.300032
-200.0,200,21.406637
-200.0,200,21.509867
-200.0,200,21.616036
-200.0,200,21.725199
-200.0,200,21.832635
-200.0,200,21.938397
-200.0,200,22.040588
-200.0,200,22.147727
-200.0,200,22.249064
-200.0,200,22.351469
-200.0,200,22.45492
