#{"t_start": 1748399469.964588, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.011523
-200.0,200,0.020995
-200.0,200,0.03041
-200.0,200,0.039898
-200.0,200,0.04958
-200.0,200,0.130425
-200.0,200,0.208604
-200.0,200,0.282645
-200.0,200,0.370921
-200.0,200,0.456623
-200.0,200,0.534012
-200.0,200,0.615014
-200.0,200,0.690216
-200.0,200,0.772648
-200.0,200,0.856098
-200.0,200,0.938614
-200.0,200,1.019354
-200.0,200,1.100625
-200.0,200,1.181886
-200.0,200,1.261909
-200.0,200,1.346023
-200.0,200,1.430825
-200.0,200,1.516367
-200.0,200,1.602541
-200.0,200,1.683218
-200.0,200,1.768919
-200.0,200,1.860555
-200.0,200,1.947304
-200.0,200,2.029526
-200.0,200,2.110767
-200.0,200,2.19919
-200.0,200,2.287688
-200.0,200,2.377313
-200.0,200,2.460948
-200.0,200,2.543974
-200.0,200,2.629154
-200.0,200,2.712224
-200.0,200,2.794613
-200.0,200,2.880482
-200.0,200,2.970324
-200.0,200,3.062078
-200.0,200,3.150361
-200.0,200,3.238483
-200.0,200,3.331227
-200.0,200,3.434784
-200.0,200,3.525526
-200.0,200,3.613497
-200.0,200,3.703916
-200.0,200,3.794925
-200.0,200,3.882688
-200.0,200,3.977017
-200.0,200,4.067891
-200.0,200,4.170925
-200.0,200,4.262569
-200.0,200,4.350421
-200.0,200,4.441869
-200.0,200,4.532905
-200.0,200,4.63355
-200.0,200,4.725565
-200.0,200,4.843573
-200.0,200,4.953359
-200.0,200,5.046469
-200.0,200,5.137556
-200.0,200,5.229282
-200.0,200,5.317487
-200.0,200,5.415927
-200.0,200,5.507594
-200.0,200,5.596672
-200.0,200,5.692081
-200.0,200,5.786451
-200.0,200,5.882288
-200.0,200,5.976629
-200.0,200,6.067268
-200.0,200,6.157672
-200.0,200,6.245564
-200.0,200,6.339847
-200.0,200,6.432576
-200.0,200,6.527752
-200.0,200,6.62842
-200.0,200,6.74565
-200.0,200,6.85538
-200.0,200,6.95231
-200.0,200,7.065626
-200.0,200,7.163979
-200.0,200,7.280738
-200.0,200,7.377455
-200.0,200,7.471549
-200.0,200,7.571054
-200.0,200,7.665293
-200.0,200,7.767073
-200.0,200,7.885181
-200.0,200,7.98143
-200.0,200,8.090566
-200.0,200,8.186483
-200.0,200,8.282629
-200.0,200,8.381789
-200.0,200,8.478932
-200.0,200,8.57909
-200.0,200,8.677815
-200.0,200,8.775539
-200.0,200,8.873232
-200.0,200,8.967633
-200.0,200,9.065782
-200.0,200,9.161674
-200.0,200,9.258041
-200.0,200,9.358951
-155.0,155,9.447518
-200.0,200,9.545569
-200.0,200,9.647638
-200.0,200,9.752253
-200.0,200,9.877776
-200.0,200,10.002442
-200.0,200,10.116302
-200.0,200,10.215003
-200.0,200,10.313281
-200.0,200,10.408402
-200.0,200,10.507336
-200.0,200,10.605617
-200.0,200,10.710353
-200.0,200,10.808164
-200.0,200,10.905774
-200.0,200,11.001493
-200.0,200,11.101957
-200.0,200,11.198826
-200.0,200,11.29864
-200.0,200,11.402044
-183.0,183,11.501806
-200.0,200,11.624927
-200.0,200,11.722283
-200.0,200,11.820471
-200.0,200,11.925448
-200.0,200,12.032855
-200.0,200,12.134774
-200.0,200,12.235464
-200.0,200,12.33661
-200.0,200,12.44001
-200.0,200,12.549732
-200.0,200,12.660382
-200.0,200,12.764843
-200.0,200,12.867076
-200.0,200,12.971403
-165.0,165,13.05583
-200.0,200,13.15678
-200.0,200,13.259851
-200.0,200,13.364165
-200.0,200,13.467941
-200.0,200,13.573373
-200.0,200,13.67972
-200.0,200,13.784962
-200.0,200,13.889571
-200.0,200,13.998104
-200.0,200,14.105973
-200.0,200,14.213962
-200.0,200,14.315447
-200.0,200,14.421754
-200.0,200,14.526704
-200.0,200,14.630937
-200.0,200,14.737476
-200.0,200,14.844735
-200.0,200,14.9507
-200.0,200,15.058613
-200.0,200,15.162814
-200.0,200,15.26565
-200.0,200,15.370931
-176.0,176,15.46696
-200.0,200,15.575184
-200.0,200,15.680325
-200.0,200,15.783767
-200.0,200,15.885806
-200.0,200,15.995915
-200.0,200,16.102569
-200.0,200,16.207238
-200.0,200,16.311853
-200.0,200,16.420424
-200.0,200,16.525123
-200.0,200,16.64061
-200.0,200,16.742884
-200.0,200,16.848945
-200.0,200,16.952739
-200.0,200,17.060467
-200.0,200,17.171849
-200.0,200,17.276822
-200.0,200,17.381256
-200.0,200,17.48668
-200.0,200,17.607612
-200.0,200,17.712927
-200.0,200,17.816052
-200.0,200,17.919847
-200.0,200,18.035971
-200.0,200,18.146733
-200.0,200,18.248802
-200.0,200,18.349839
-200.0,200,18.451923
-200.0,200,18.561933
-200.0,200,18.66691
-200.0,200,18.772493
-200.0,200,18.88261
-200.0,200,18.99762
-200.0,200,19.103846
-200.0,200,19.210641
-191.0,191,19.311698
-200.0,200,19.415476
-200.0,200,19.518851
-200.0,200,19.621423
-200.0,200,19.725952
-200.0,200,19.829794
-200.0,200,19.935767
-200.0,200,20.040048
-200.0,200,20.145742
-200.0,200,20.252234
-200.0,200,20.355592
-200.0,200,20.454778
-200.0,200,20.574568
-200.0,200,20.673628
-200.0,200,20.777754
-200.0,200,20.880893
-200.0,200,20.979673
-200.0,200,21.085352
-200.0,200,21.186429
-200.0,200,21.287713
-200.0,200,21.415859
-200.0,200,21.521419
-200.0,200,21.62761
-200.0,200,21.734088
-200.0,200,21.854346
-200.0,200,21.961472
-200.0,200,22.072082
-200.0,200,22.187239
-200.0,200,22.30171
-200.0,200,22.404581
-200.0,200,22.506479
-200.0,200,22.605703
-200.0,200,22.707572
-200.0,200,22.827808
-160.0,160,22.925453
-200.0,200,23.043702
-200.0,200,23.150847
-200.0,200,23.253741
-200.0,200,23.360708
-200.0,200,23.462766
-200.0,200,23.596887
-200.0,200,23.710804
-200.0,200,23.817121
-200.0,200,23.922921
-200.0,200,24.026837
-200.0,200,24.134206
-200.0,200,24.243282
-200.0,200,24.347978
-200.0,200,24.452503
-200.0,200,24.573191
-200.0,200,24.677721
-200.0,200,24.782454
-200.0,200,24.891199
-200.0,200,25.015
-200.0,200,25.133478
-187.0,187,25.231226
-200.0,200,25.333471
-200.0,200,25.437203
-200.0,200,25.541344
-200.0,200,25.665681
-200.0,200,25.781099
-200.0,200,25.888821
-200.0,200,25.99217
-200.0,200,26.103616
-200.0,200,26.21191
-200.0,200,26.319713
-200.0,200,26.427448
-200.0,200,26.554722
-200.0,200,26.658518
-200.0,200,26.792783
-185.0,185,26.893375
-200.0,200,27.002432
-200.0,200,27.10869
-200.0,200,27.215218
-200.0,200,27.325814
-200.0,200,27.472949
-200.0,200,27.575783
-200.0,200,27.680255
-200.0,200,27.782535
-200.0,200,27.881445
-200.0,200,27.98632
-200.0,200,28.088712
-200.0,200,28.194101
-178.0,178,28.286348
-200.0,200,28.392159
-200.0,200,28.497151
-200.0,200,28.601657
-200.0,200,28.704335
-200.0,200,28.807263
-200.0,200,28.909025
-200.0,200,29.014025
-200.0,200,29.115967
-200.0,200,29.242813
-200.0,200,29.34619
-200.0,200,29.477558
-200.0,200,29.578038
-200.0,200,29.678278
-200.0,200,29.781247
-200.0,200,29.885128
-200.0,200,29.990575
-200.0,200,30.106843
-200.0,200,30.210247
-200.0,200,30.317364
-200.0,200,30.418248
-200.0,200,30.521552
-200.0,200,30.626013
-200.0,200,30.732985
-200.0,200,30.840242
-200.0,200,30.954427
-200.0,200,31.088246
-200.0,200,31.197235
-200.0,200,31.306656
-200.0,200,31.411411
-200.0,200,31.516382
-200.0,200,31.619732
-192.0,192,31.718969
-200.0,200,31.827357
-200.0,200,31.93209
-200.0,200,32.048351
-200.0,200,32.150853
-200.0,200,32.251862
-200.0,200,32.359474
-200.0,200,32.465416
-200.0,200,32.577854
-200.0,200,32.685482
-200.0,200,32.83337
-200.0,200,32.939968
-200.0,200,33.043217
-200.0,200,33.14911
-200.0,200,33.252097
-200.0,200,33.358458
-200.0,200,33.464905
-200.0,200,33.568621
-200.0,200,33.673755
-200.0,200,33.784171
-200.0,200,33.887165
-200.0,200,33.987698
-200.0,200,34.087799
-200.0,200,34.194539
-200.0,200,34.296263
-200.0,200,34.401065
-200.0,200,34.51542
-200.0,200,34.619977
-200.0,200,34.727967
-200.0,200,34.846895
-200.0,200,34.952749
-200.0,200,35.060694
-200.0,200,35.162972
-200.0,200,35.268015
-200.0,200,35.371963
-200.0,200,35.475925
-200.0,200,35.581207
-200.0,200,35.683989
-200.0,200,35.788794
-200.0,200,35.892126
-200.0,200,36.001005
-200.0,200,36.104522
-200.0,200,36.207752
-200.0,200,36.314631
-200.0,200,36.419083
-200.0,200,36.522801
-200.0,200,36.631284
-200.0,200,36.74004
-200.0,200,36.84488
-200.0,200,36.961317
-200.0,200,37.067086
-200.0,200,37.19268
-200.0,200,37.309016
-200.0,200,37.414698
-200.0,200,37.523329
-200.0,200,37.634891
-200.0,200,37.74184
-200.0,200,37.845387
-200.0,200,37.951553
-200.0,200,38.060756
-200.0,200,38.164019
-200.0,200,38.268242
-200.0,200,38.370933
-200.0,200,38.473479
-200.0,200,38.59207
-200.0,200,38.701055
-200.0,200,38.806882
-200.0,200,38.921284
-200.0,200,39.042717
-200.0,200,39.146065
-200.0,200,39.252744
-200.0,200,39.361039
-200.0,200,39.467492
-200.0,200,39.575073
-200.0,200,39.68579
-200.0,200,39.794646
-200.0,200,39.899873
-200.0,200,40.024906
-200.0,200,40.125999
-200.0,200,40.228198
-200.0,200,40.333009
-200.0,200,40.437861
-200.0,200,40.543279
-200.0,200,40.648893
-116.0,116,40.712852
-200.0,200,40.82121
-200.0,200,40.923106
-200.0,200,41.028055
-200.0,200,41.13114
-200.0,200,41.236521
-200.0,200,41.341707
-200.0,200,41.448022
-200.0,200,41.553057
-200.0,200,41.657856
-200.0,200,41.761935
-200.0,200,41.874887
-200.0,200,41.980904
-200.0,200,42.082592
-200.0,200,42.180525
-200.0,200,42.282177
-200.0,200,42.384975
-200.0,200,42.489103
-200.0,200,42.59759
-200.0,200,42.701954
-200.0,200,42.80534
-200.0,200,42.908606
-200.0,200,43.014877
-200.0,200,43.116979
-200.0,200,43.235039
-200.0,200,43.34686
-200.0,200,43.476028
-200.0,200,43.58601
-200.0,200,43.702536
-200.0,200,43.803862
-200.0,200,43.905416
