#{"t_start": 1748399953.1749907, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.01162
-200.0,200,0.021024
-200.0,200,0.030579
-200.0,200,0.039842
-200.0,200,0.049111
-200.0,200,0.131864
-200.0,200,0.210673
-200.0,200,0.287674
-200.0,200,0.370546
-200.0,200,0.449517
-200.0,200,0.528731
-200.0,200,0.610859
-200.0,200,0.692779
-200.0,200,0.770073
-200.0,200,0.850686
-200.0,200,0.927359
-200.0,200,1.001718
-200.0,200,1.081329
-200.0,200,1.162731
-200.0,200,1.244017
-200.0,200,1.332394
-200.0,200,1.4195
-200.0,200,1.516246
-200.0,200,1.59781
-200.0,200,1.683839
-200.0,200,1.76877
-200.0,200,1.854341
-200.0,200,1.936705
-200.0,200,2.0353
-200.0,200,2.118568
-200.0,200,2.204993
-200.0,200,2.288136
-200.0,200,2.373224
-200.0,200,2.4609
-200.0,200,2.54576
-200.0,200,2.63407
-200.0,200,2.728359
-200.0,200,2.812816
-200.0,200,2.912831
-200.0,200,3.0043
-200.0,200,3.094603
-200.0,200,3.182495
-200.0,200,3.278065
-200.0,200,3.370368
-200.0,200,3.458134
-200.0,200,3.547619
-200.0,200,3.645579
-200.0,200,3.736137
-200.0,200,3.824102
-200.0,200,3.931589
-200.0,200,4.053115
-200.0,200,4.145088
-200.0,200,4.23441
-200.0,200,4.342825
-200.0,200,4.443703
-200.0,200,4.538299
-200.0,200,4.626196
-200.0,200,4.712637
-200.0,200,4.798817
-200.0,200,4.88712
-200.0,200,4.982308
-200.0,200,5.074549
-200.0,200,5.166868
-200.0,200,5.255571
-200.0,200,5.345294
-200.0,200,5.451214
-200.0,200,5.545706
-200.0,200,5.636841
-200.0,200,5.77511
-200.0,200,5.880458
-200.0,200,5.973809
-200.0,200,6.06524
-200.0,200,6.172407
-200.0,200,6.2622
-200.0,200,6.35449
-200.0,200,6.442509
-200.0,200,6.529557
-200.0,200,6.617842
-200.0,200,6.730127
-200.0,200,6.822446
-200.0,200,6.915578
-200.0,200,7.006658
-200.0,200,7.098839
-200.0,200,7.194885
-200.0,200,7.289707
-200.0,200,7.395863
-200.0,200,7.48914
-200.0,200,7.583567
-200.0,200,7.678324
-200.0,200,7.772533
-200.0,200,7.867527
-200.0,200,7.959555
-200.0,200,8.06668
-200.0,200,8.162063
-200.0,200,8.260184
-200.0,200,8.357977
-200.0,200,8.483789
-200.0,200,8.582799
-200.0,200,8.682438
-200.0,200,8.795008
-200.0,200,8.90051
-200.0,200,9.017346
-200.0,200,9.117339
-200.0,200,9.217216
-200.0,200,9.325677
-200.0,200,9.443422
-200.0,200,9.539654
-200.0,200,9.643053
-200.0,200,9.73966
-200.0,200,9.83732
-200.0,200,9.934063
-200.0,200,10.034543
-200.0,200,10.129799
-200.0,200,10.225524
-200.0,200,10.323427
-200.0,200,10.425525
-200.0,200,10.52122
-200.0,200,10.62429
-200.0,200,10.7497
-200.0,200,10.84956
-200.0,200,10.953539
-200.0,200,11.049763
-200.0,200,11.149129
-200.0,200,11.248413
-200.0,200,11.350859
