#{"t_start": 1748397984.9631195, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.011654
-200.0,200,0.021011
-200.0,200,0.030383
-200.0,200,0.039806
-200.0,200,0.049222
-200.0,200,0.131115
-200.0,200,0.211725
-200.0,200,0.295234
-200.0,200,0.372901
-200.0,200,0.451445
-200.0,200,0.534232
-200.0,200,0.613568
-200.0,200,0.692883
-200.0,200,0.771585
-200.0,200,0.863999
-200.0,200,0.960323
-200.0,200,1.048824
-200.0,200,1.145193
-200.0,200,1.229499
-200.0,200,1.314407
-200.0,200,1.40329
-200.0,200,1.48933
-200.0,200,1.575407
-200.0,200,1.668531
-200.0,200,1.757228
-200.0,200,1.859159
-200.0,200,1.955089
-200.0,200,2.049671
-200.0,200,2.163976
-200.0,200,2.248962
-200.0,200,2.33601
-200.0,200,2.422327
-200.0,200,2.508506
-200.0,200,2.605461
-200.0,200,2.702737
-200.0,200,2.788112
-200.0,200,2.871749
-200.0,200,2.95936
-200.0,200,3.045681
-200.0,200,3.132911
-200.0,200,3.222717
-200.0,200,3.311947
-200.0,200,3.401199
-200.0,200,3.491303
-200.0,200,3.581396
-200.0,200,3.671771
-200.0,200,3.765363
-200.0,200,3.854959
-200.0,200,3.944243
-200.0,200,4.031951
-200.0,200,4.122298
-200.0,200,4.211726
-200.0,200,4.30808
-200.0,200,4.398952
-200.0,200,4.489568
-200.0,200,4.582039
-200.0,200,4.675399
-200.0,200,4.766435
-200.0,200,4.857689
-200.0,200,4.948641
-200.0,200,5.039751
-200.0,200,5.133671
-200.0,200,5.222348
-200.0,200,5.308823
-200.0,200,5.398903
-200.0,200,5.489914
-200.0,200,5.579544
-200.0,200,5.677731
-200.0,200,5.780636
-200.0,200,5.878548
-200.0,200,5.973736
-200.0,200,6.068238
-200.0,200,6.157719
-200.0,200,6.247031
-200.0,200,6.344261
-200.0,200,6.44169
-200.0,200,6.540539
-200.0,200,6.64032
-200.0,200,6.733155
-200.0,200,6.824963
-200.0,200,6.919046
