Episodio,Q_learning,SARSA,16_step_SARSA
1,1390.3666666666666,809.4333333333333,2697.366666666667
2,247.93333333333334,338.1666666666667,1359.6333333333334
3,415.3666666666667,273.56666666666666,1557.9333333333334
4,156.83333333333334,160.2,1220.7
5,490.73333333333335,218.33333333333334,1227.7
6,195.86666666666667,140.43333333333334,1318.8333333333333
7,180.86666666666667,168.9,1369.5333333333333
8,107.03333333333333,249.16666666666666,1318.1
9,425.3666666666667,399.23333333333335,1358.3666666666666
10,148.7,221.1,1135.6666666666667
11,350.43333333333334,347.9,1334.6333333333334
12,148.93333333333334,305.3666666666667,1418.6333333333334
13,219.9,234.5,1554.1
14,150.7,154.36666666666667,1279.5666666666666
15,139.76666666666668,208.13333333333333,1314.2333333333333
16,145.1,126.83333333333333,1444.0
17,219.86666666666667,189.0,1657.8333333333333
18,105.2,102.53333333333333,1580.5
19,166.33333333333334,115.26666666666667,1722.6666666666667
20,139.8,173.46666666666667,1678.7
21,260.46666666666664,254.13333333333333,1561.4
22,170.16666666666666,182.9,1769.9
23,131.13333333333333,180.4,1952.9333333333334
24,262.93333333333334,98.53333333333333,1900.1
25,120.66666666666667,236.8,1959.4666666666667
26,181.56666666666666,210.6,1910.4666666666667
27,115.66666666666667,156.8,2109.4333333333334
28,262.1,121.8,1830.2666666666667
29,249.73333333333332,166.56666666666666,2024.4
30,168.23333333333332,110.66666666666667,1949.1333333333334
31,146.36666666666667,150.0,2188.1666666666665
32,238.8,106.1,2101.9333333333334
33,210.66666666666666,194.2,1536.2
34,157.4,170.66666666666666,2253.5
35,187.16666666666666,272.1333333333333,1878.7333333333333
36,118.16666666666667,159.8,2045.1
37,241.13333333333333,169.36666666666667,2151.0666666666666
38,126.73333333333333,127.26666666666667,1872.1
39,189.33333333333334,130.83333333333334,1868.4666666666667
40,122.06666666666666,169.36666666666667,1860.5666666666666
41,132.86666666666667,151.4,2255.5666666666666
42,227.93333333333334,220.7,1872.1333333333334
43,189.1,200.0,2192.366666666667
44,114.9,233.66666666666666,2118.6
45,249.6,189.4,1393.3
46,198.03333333333333,202.76666666666668,1945.4
47,206.6,155.03333333333333,1583.6
48,144.13333333333333,203.86666666666667,1653.7666666666667
49,149.9,216.23333333333332,1444.2
50,177.53333333333333,159.9,1688.0333333333333
51,228.73333333333332,186.86666666666667,1891.2
52,162.4,169.43333333333334,1695.2666666666667
53,151.9,132.2,1761.1333333333334
54,152.23333333333332,251.3,1505.8666666666666
55,103.13333333333334,247.8,1684.7666666666667
56,116.9,207.9,1598.0666666666666
57,214.4,227.1,1855.3
58,165.73333333333332,161.66666666666666,1685.2333333333333
59,247.76666666666668,321.6666666666667,1734.7
60,169.56666666666666,179.66666666666666,1646.9
61,136.26666666666668,364.43333333333334,1856.8666666666666
62,109.8,143.23333333333332,1659.1333333333334
63,201.3,303.3333333333333,1503.4333333333334
64,130.43333333333334,206.63333333333333,1607.9333333333334
65,265.93333333333334,237.4,1823.1
66,128.23333333333332,183.16666666666666,1540.4666666666667
67,165.93333333333334,97.6,1745.4666666666667
68,250.53333333333333,169.63333333333333,1572.3
69,259.8333333333333,212.1,1380.4333333333334
70,252.83333333333334,109.86666666666666,1495.5333333333333
71,222.23333333333332,145.16666666666666,1388.0666666666666
72,153.66666666666666,218.86666666666667,1409.2333333333333
73,190.86666666666667,277.8666666666667,1243.8333333333333
74,139.16666666666666,208.06666666666666,1503.1666666666667
75,271.8333333333333,156.86666666666667,1309.5666666666666
76,203.93333333333334,259.93333333333334,1406.9666666666667
77,145.1,286.6,1093.9666666666667
78,154.73333333333332,189.53333333333333,1176.8666666666666
79,192.23333333333332,155.7,1042.5
80,176.5,170.46666666666667,882.9333333333333
81,221.43333333333334,150.3,1085.8
82,193.46666666666667,172.6,987.9666666666667
83,236.06666666666666,188.76666666666668,1165.4333333333334
84,88.93333333333334,116.96666666666667,912.0
85,175.4,143.5,1028.2333333333333
86,185.7,135.9,827.5333333333333
87,265.1666666666667,110.26666666666667,1075.4
88,193.76666666666668,161.36666666666667,1185.3666666666666
89,244.9,185.03333333333333,641.2333333333333
90,114.96666666666667,132.36666666666667,1212.2666666666667
91,176.53333333333333,162.06666666666666,1116.4666666666667
92,130.7,242.73333333333332,1242.5
93,163.66666666666666,113.6,1093.2
94,161.7,116.3,1036.7
95,225.76666666666668,140.76666666666668,982.9333333333333
96,166.06666666666666,159.96666666666667,1069.2666666666667
97,276.8666666666667,156.36666666666667,1008.0
98,221.13333333333333,177.6,878.7333333333333
99,239.96666666666667,244.36666666666667,688.4333333333333
100,188.7,241.33333333333334,918.2
101,198.56666666666666,182.5,690.1
102,194.86666666666667,268.8,704.9666666666667
103,187.1,206.36666666666667,724.3
104,179.43333333333334,124.2,603.5
105,212.5,206.16666666666666,910.5
106,198.16666666666666,180.96666666666667,517.5333333333333
107,174.9,177.16666666666666,564.7
108,207.26666666666668,140.3,840.5666666666667
109,156.5,137.46666666666667,597.9333333333333
110,212.7,142.46666666666667,643.7333333333333
111,146.93333333333334,245.6,473.96666666666664
112,126.83333333333333,108.9,791.4666666666667
113,147.36666666666667,193.06666666666666,513.6333333333333
114,202.43333333333334,178.16666666666666,621.2333333333333
115,182.5,225.53333333333333,793.0
116,175.7,217.96666666666667,580.0333333333333
117,196.5,138.73333333333332,713.2333333333333
118,169.76666666666668,216.46666666666667,724.9666666666667
119,176.9,216.26666666666668,957.3
