Episodio,Q-learning,Q-learning_std,Sarsa (1-step),Sarsa (1-step)_std,Sarsa (8-step),Sarsa (8-step)_std,Multi-goal Q-learning,Multi-goal Q-learning_std,Multi-goal Sarsa,Multi-goal Sarsa_std
83,467.75,438.08285460629475,754.14,707.5622236948495,844.81,1078.768832465974,468.45,468.85051722270714,552.02,504.523438107686
84,393.16,399.5425314031036,884.21,804.7675104649791,725.6,927.5566505610318,430.04,391.7328661217999,431.02,409.35720294139196
85,514.57,461.09596083678724,755.38,710.8333247674869,703.04,947.9431409108879,485.59,431.5570667941843,497.56,431.50486254502397
86,430.73,385.7767451519079,811.16,802.7249307203559,844.14,897.3287248271952,466.65,442.9641605141437,492.52,496.47997905252936
87,509.0,461.172505685237,778.14,690.8994430450788,718.12,819.5492453782139,532.55,453.67963090709713,456.43,402.56043658064556
88,449.07,404.8070467519063,802.62,671.4447077757037,798.85,910.211474054244,451.14,416.95568157779076,465.86,405.14098829913513
89,492.72,485.57129404444834,756.5,724.7977304048351,726.85,891.3989272486252,450.45,402.53549843460996,497.53,450.5988116939501
90,415.95,458.4690256713095,825.64,710.3334219927992,608.27,741.342442532464,501.57,475.0587596287433,387.02,359.29094004719906
91,426.39,413.37077533371894,942.33,836.1610138603688,723.54,852.2695632251572,492.09,398.1279215277421,513.64,437.05396737702773
92,487.25,387.86454787721965,936.38,856.4283598760609,677.77,883.1178160925072,454.36,393.92162976917115,447.46,406.97833898132717
93,506.24,461.4332697151345,865.21,732.1870156592507,750.24,939.8971765038983,482.45,381.71919980530186,496.5,437.43464654734424
94,409.6,384.66634893112246,751.52,755.9223833172291,884.21,1122.1371956672679,417.52,375.39684282103383,440.37,391.4792115808961
95,458.9,355.95562925735567,837.36,715.7716747678688,722.37,826.0930051150415,508.11,441.418166708168,433.64,398.89603958926443
96,411.29,399.172301017994,799.84,760.7994968452596,551.98,668.8886301919028,420.04,448.2701845985298,518.19,417.05830995197783
97,444.23,379.3361795294512,944.4,778.9723615122682,668.54,912.4241055561827,430.5,404.34615121205246,485.71,360.4020892003819
98,399.14,420.21249434066084,812.44,695.7438223944212,699.04,793.3001817723225,390.15,371.8255874734822,522.31,478.53080768117746
99,447.15,454.08500030280675,939.34,808.6213108742561,658.37,782.7172114499591,415.09,361.8824144663568,425.36,404.388662551264
100,461.85,410.644210357336,922.69,798.1048514449714,611.08,787.4925863778021,414.26,403.8304005396325,451.21,419.07809045570485
101,566.83,522.3181607985692,995.54,848.5852275405223,618.5,888.4825659516342,392.13,372.3467377324529,441.52,426.3162319217977
102,447.61,381.54941737604577,779.76,778.6364635694889,602.81,743.0261461752204,373.75,351.4745616684086,432.45,389.9425694894057
103,465.19,412.5767733404293,783.88,704.4859158279887,798.42,1018.7247045203136,439.53,377.7247795684048,481.53,452.51230823039486
104,493.69,401.123190429075,840.62,753.2490130096421,821.75,1006.3610522570913,447.88,437.34008002926055,442.95,382.6915566092358
105,474.62,435.0742414806927,752.81,740.2922759964472,622.62,750.3876035756454,401.25,359.02195963478334,413.38,370.23951112759437
106,402.0,391.24378589314364,800.85,743.9698834630335,470.88,701.3956412753076,432.6,401.6127986008415,485.79,430.5302148514085
107,446.65,432.9578126099586,1005.83,864.3232040735687,619.1,849.752463956416,477.93,381.05346750817,482.8,478.0310450169529
108,363.13,403.84726456916854,886.21,806.9777480823126,707.58,1007.8824155624504,480.08,399.98859183731736,438.42,412.80874942278047
109,444.35,443.5415961327642,700.02,700.3686169439634,529.81,762.0716724167091,483.95,414.4280727701731,459.17,449.92848442835896
110,463.83,440.09778583855666,981.69,683.5231919254825,502.97,750.5930515932052,399.23,374.6715055885622,449.86,423.37815295548734
111,531.26,469.9752891376311,703.05,653.096078307013,782.22,991.7171429394571,404.02,418.8215366955239,383.77,364.34398183584693
112,452.59,432.5488896067126,839.75,718.2381412177997,666.32,897.515658693485,427.14,440.34525136533495,436.4,398.47807969824396
113,454.71,435.3429979912391,923.4,776.8220002033928,822.05,1028.383774424704,410.04,423.26372204572414,397.04,394.04717788610037
114,484.52,440.18878858962324,910.45,868.2355944673085,562.47,721.4764924098359,402.7,410.5848876907185,391.19,409.68128331667776
115,462.4,401.0623642278094,894.78,774.2507162411929,610.73,815.9247251431963,513.29,473.09627550848467,387.0,363.7425738073562
116,434.3,393.42479586319934,922.08,799.2891551872827,524.92,712.8378873208128,394.04,331.82724179910247,420.37,426.44628395613915
117,444.4,392.56540856270055,793.36,692.8840237730986,701.36,853.6327022789135,476.14,450.56051802171925,395.81,311.62993100791846
118,474.47,422.0022619607625,809.65,828.2228489362024,744.65,852.8093031270236,428.98,365.2613853119434,420.84,400.83606923529226
119,363.57,327.7072246686057,925.2,754.8678294906999,495.83,681.8349221769153,442.16,358.25314290317124,461.27,402.4570997013222
120,462.5,407.33689987527526,780.71,653.9488710136291,456.82,674.377511190876,458.31,426.08425680843925,413.77,350.51775575568195
121,422.61,368.72341653331426,896.2,773.9582676087906,642.95,778.6308929781814,429.63,394.69346726288745,443.37,436.0222621610048
122,447.49,397.9332229156043,1036.51,846.2639599439407,543.72,659.9071613492309,402.33,319.6424582248108,328.0,324.82358288769615
123,354.97,365.73570935854764,889.6,804.329397697237,570.8,779.0455699123127,433.88,357.7682288856851,433.77,417.6982608295131
124,447.18,376.3620963912281,828.57,688.5190230487462,581.4,843.7353257983215,451.96,392.8858083463946,443.61,401.412702713803
125,360.01,326.3018079937652,827.4,816.1050667653029,750.14,1069.7120362041364,416.46,369.5067095466602,432.72,381.1456173170564
126,380.62,365.57165590346295,760.66,717.6497644394514,555.21,738.9729398969896,427.22,356.11320054162553,483.89,427.23581064793717
127,415.9,406.3011321667712,978.86,754.1582727783338,451.29,600.9122780406472,481.05,443.72857413062763,417.28,342.7189542467705
128,406.07,372.3853180510746,941.26,817.4554620283602,538.88,718.0642489359849,371.02,364.22591835288165,490.61,441.77321998962327
129,377.26,338.97004646428564,1011.93,780.527145652219,599.5,874.1184645115329,396.45,372.6551857951261,400.34,341.9962344821943
130,391.65,348.8212257016479,841.86,804.4672028118985,608.37,768.5523749881983,365.56,314.9548640678534,441.73,374.9261221894254
131,402.51,347.80789223362956,774.52,790.0446883562979,611.93,858.0568775436744,394.2,360.20097168108805,377.03,368.7456428217153
132,420.05,387.13959691563446,769.53,823.499950880387,623.27,772.9081297929268,454.66,445.7398393682126,391.65,349.5342722824188
133,434.5,330.1152677474945,1033.45,831.4106130547049,528.32,638.3384193357,447.23,372.9016453436481,412.98,379.78067302062647
134,412.28,353.38690071931074,857.62,862.3232199123483,462.29,788.581971579366,343.15,306.8518983157836,395.88,342.5741169440563
135,414.73,408.1685155667938,826.01,746.63051765917,638.43,690.493233203628,402.39,358.0625893611339,408.21,325.8436218495001
136,461.78,401.54077202695123,770.11,728.8992645763885,632.53,705.2246940514777,377.95,351.42601995299106,439.29,397.8274825851025
137,392.67,342.1772071602666,888.16,740.7872396309212,417.94,628.9017700722429,371.12,397.1083046223033,368.35,302.1323013184787
138,414.79,306.31119127449455,800.51,693.8397148477449,624.76,765.948498529764,460.92,352.3560608248423,433.45,425.4860367861676
139,292.57,298.946592387336,738.91,765.0685341196565,604.18,833.6380555133026,458.94,426.7424942515099,464.38,408.94079718218376
140,424.9,368.35660710784066,983.72,965.4278438081222,538.66,693.9686479949942,402.81,398.13928957087364,431.16,367.75651510204415
141,432.05,398.79163419008665,761.45,761.0104910577779,483.76,619.9594683525689,425.57,384.20133406848043,394.97,336.8144134386175
142,413.85,396.5840988995903,762.2,663.5803493172474,634.75,764.9458199768138,384.62,310.5956142639493,364.43,303.80231253234393
143,384.41,348.3683996863091,894.45,746.9960558798155,422.76,610.5438251264195,392.42,391.82800257255724,384.08,367.10806801267654
144,355.97,308.22915030866244,939.59,834.8310499136935,509.48,761.3738435223528,421.27,379.76818863617314,402.25,387.38756755993086
145,326.16,314.20104137319464,757.0,657.0273358087926,666.78,830.2125701288795,380.64,353.2961511253696,416.49,355.208853915552
146,404.45,367.94693571220284,831.98,701.8075231856667,421.45,674.1446932966248,391.48,342.758762980613,350.56,311.4732515000285
147,386.56,342.3119139030952,754.92,728.23808853973,514.36,727.1283176991526,376.56,369.15138683201513,343.65,343.5341140265404
148,424.32,373.61509284288826,801.24,751.4003609261841,565.39,794.8699628870124,362.07,270.451520794393,370.44,333.67856748673563
149,324.93,303.3090257476688,945.25,794.5050456101585,600.51,748.4911421653566,441.92,414.72479260348064,373.05,358.4325145686422
150,309.28,336.72927048298016,884.39,779.1118648178833,508.19,643.4906634132309,427.21,338.78976652195377,390.65,372.7604961634213
151,410.11,375.5483163322664,920.35,741.7801746474487,553.63,682.1257897924693,405.45,362.0370526617407,428.89,423.87769214715706
152,323.71,300.45130370827144,1044.72,775.3608589553642,541.65,718.9324637961482,374.92,371.7722872942522,379.28,339.1331915339458
153,410.82,341.2108257368163,722.47,633.1001098562532,623.28,817.1903949508949,336.85,317.08422776921583,391.43,386.65401213488025
154,357.22,338.1637940406986,820.98,703.621645204296,481.76,691.4060329502483,375.62,319.22837530520377,299.27,302.4842757896681
155,343.39,310.7592603608137,918.17,847.5605943529938,451.76,626.0886378141676,369.15,331.41742184139935,415.14,341.50698440881126
156,344.1,334.83439190142934,850.16,773.4414227334868,580.57,794.7951843714204,328.35,274.6221540589907,377.59,320.396944273818
157,392.05,366.5332283709077,939.93,790.5456375820436,584.06,779.5931608217198,388.14,351.5260451232596,360.86,312.0696082607212
158,398.09,346.3068608907424,740.29,656.4923349895261,467.72,643.684846489336,387.78,335.42285491599995,390.5,320.11446390314825
159,398.09,351.30875579751785,922.56,702.5560663747771,481.42,701.2333160938662,374.08,317.18107383638136,384.87,319.37065159466357
160,358.51,327.00827191372383,938.72,813.619051890994,603.55,758.1273161547472,375.97,346.8891596749602,360.43,296.10046453864265
161,370.62,318.5314672053611,911.97,791.4904857924698,534.9,722.260901613814,384.17,387.2784283948694,381.92,342.1646878332129
162,351.08,301.1997569720136,896.57,864.8267139144118,559.94,809.6075693816109,421.7,364.4543455633365,409.74,339.90850592475607
163,320.04,254.46205689650472,803.9,768.1789830501741,663.56,801.1422760034574,356.87,318.78995137864683,385.04,400.705001715726
164,325.89,307.66829199642916,828.7,799.648529042604,509.52,703.6796214187248,391.39,320.30759887957703,359.82,319.61284016760027
165,343.39,311.85768853757645,867.11,738.0725288885908,340.4,502.1414143446047,353.42,325.3852233891391,319.79,324.13868312807097
166,336.25,325.92484946686716,767.74,714.7067317438671,442.05,612.000790440666,389.64,301.47704788258767,315.95,318.17754084787316
167,285.33,290.6141102906051,871.78,720.7137098737612,476.67,613.6165912848184,371.83,349.2223376303412,334.14,294.2157038636789
168,335.87,325.3533972467477,737.06,716.657795883084,502.38,680.916893313714,365.74,295.71211067523086,390.15,373.24751506205644
169,343.81,316.6232680963293,738.49,756.7059600003162,504.34,691.7327984127975,320.52,310.5192902220407,341.89,328.9943128687791
170,328.88,301.8876373752327,799.63,669.0548954308608,580.14,798.627397726875,377.13,330.58701290280607,413.34,369.256854235639
171,410.6,328.3971985264187,911.2,756.9471712081365,509.34,639.2596846352822,323.66,267.01386555757745,351.05,340.9993658351874
172,379.51,312.0166179869271,826.64,729.1563552489961,508.56,737.2578289852204,343.05,326.9651778095032,373.04,323.06763750026096
173,345.55,345.12769738170823,970.35,832.9490065424174,459.22,629.1199182985704,421.99,317.071364049168,339.24,333.1092349365295
174,346.26,446.7396472219586,939.3,820.2100767486342,437.72,694.4505609472858,360.55,331.7469932041585,348.31,310.86857978895193
175,374.72,309.5499016313848,810.31,813.9777477916703,557.17,699.1741993952579,322.82,296.55081790479016,393.61,384.31684571457447
176,292.01,278.37016704381244,859.36,738.9518728577661,567.01,728.078656396409,332.8,320.7911781829419,308.15,267.40521217807253
177,333.2,313.78636044289755,955.61,821.7353332430098,440.5,600.4134492164545,294.81,277.4327195916156,369.96,317.9258378930533
178,384.99,343.16475620319744,957.6,868.1109030532905,530.48,816.5830818722612,362.92,339.3167452396065,311.37,293.0322731372775
179,310.19,306.21341234505064,773.22,745.8281247043451,526.18,726.5890913026427,358.68,327.7440123022845,340.73,272.53476310371855
180,336.33,301.4980615194731,895.47,742.58034521525,574.1,646.490208742561,321.04,327.11340296600514,361.61,383.09904450415956
181,344.28,317.8641244305497,799.36,613.6652755370798,510.9,653.5067023374742,299.71,278.6080865660578,423.98,322.0461140892714
182,352.26,321.89518853191953,894.89,723.244701259539,580.18,803.6183718656513,339.43,319.8314948531492,326.49,303.69621318021075
183,331.39,309.62883893461856,855.78,755.7760591603839,596.54,893.4060713919512,410.89,368.12981120794876,347.13,325.84436944651964
184,325.84,303.1007660828326,883.1,724.0696168187144,450.93,705.7527648546621,354.72,301.5373303589458,362.27,305.4805019964449
185,372.59,381.7861206225287,890.64,772.3664482614454,445.39,621.0293212884558,350.37,306.2476009701954,330.22,272.93477535850934
186,344.22,326.57068392616014,832.69,737.2570880635872,382.48,578.0998785677092,358.79,340.31130733491653,331.7,271.56592201526325
187,314.2,319.07883038521993,833.73,745.3231226119314,491.75,763.4898345754186,310.36,289.4066523077865,404.57,301.8725643380001
188,345.7,294.403379736035,783.68,677.1277262082835,586.51,753.4446959797381,378.33,340.43986414637163,342.44,305.8300613085641
189,293.78,281.35648490838093,864.27,738.3716388784173,408.54,590.445364449582,312.02,286.8860393954366,364.4,317.7922277211952
190,352.45,329.4572620234679,953.62,894.8386086887404,433.46,707.0048574090564,337.04,299.8807736417925,415.38,407.0170458346922
191,374.8,344.7978828241263,827.37,720.5658839412256,383.73,589.4295862102615,341.35,311.6222512915276,312.7,312.417461099728
192,300.59,289.92299305160327,1090.2,773.7247443374164,456.47,611.3629274825224,312.77,328.20654640028124,340.16,277.87298249380063
193,284.77,263.17670318628126,825.35,733.6495944931748,499.67,739.6758351467217,302.84,300.1706421354361,290.25,242.61980030492154
194,338.74,309.520423235689,710.11,626.7778217997188,516.32,730.7292231736732,331.91,285.61285317716363,328.12,304.37395683599476
195,304.06,313.0849986824664,834.67,702.1169283673481,473.13,708.8869395749931,377.91,303.7159888777672,318.18,303.7204102460024
196,286.21,293.0622218915293,849.07,733.0496061659128,449.83,574.9295270726666,372.28,302.6290164541398,332.19,295.85532596186266
197,316.03,265.8760408536279,771.77,754.3231914106843,384.08,525.17455536231,311.43,281.21782500403486,344.62,294.5476457213671
198,351.88,318.37142710990884,838.03,798.9598044332392,541.58,692.4644276784187,315.27,278.28125538742273,316.76,324.190719176228
199,321.06,325.6715775132979,969.61,852.4053483525313,368.77,565.5600030942782,298.12,266.50607047495185,352.22,328.54532655327785
200,332.0,266.09276577915455,913.88,868.5435772602318,425.19,486.2048476722543,315.21,281.14730285030294,340.96,288.86020563587505
201,363.95,330.5491907417109,835.99,798.7832308580345,435.84,683.2428077923689,385.82,327.81309857905313,384.56,314.75709110360015
202,295.18,269.800903630807,918.94,861.1363866426735,415.85,568.4703048532966,299.2,268.90109705986697,277.65,251.00997490139707
203,344.21,318.8311871508181,842.32,788.7885125938383,417.61,601.303465730907,388.51,324.09166897654126,308.55,286.00071241170014
204,377.7,312.84841377254895,940.64,817.4890032287897,410.82,580.9901097264909,257.03,282.1512521680525,352.23,322.1636806035094
205,284.93,257.0652934567402,867.49,742.6008819682347,473.87,734.3891700590364,295.55,242.870145345203,331.29,295.61966426474413
206,354.74,336.1331468332155,866.64,815.2986878439091,462.43,598.610161206774,309.46,272.1212016730781,320.61,293.0017028960753
207,283.89,273.9841197952904,813.76,765.3904248159889,471.21,675.4666726789709,281.81,256.28865347494406,280.05,267.5470192321343
208,279.63,231.77599767879332,802.88,825.6521940865898,404.22,632.7019137002826,290.0,294.54290010115676,294.1,266.05989927082203
209,321.82,308.53286307944575,723.66,723.8888895403769,525.06,722.81345892284,359.64,315.65520809896356,344.65,288.5038084670633
210,356.69,308.1119178155885,785.51,735.0181289600959,397.53,612.8887901569094,282.17,273.5823844840892,343.37,331.57963312000925
211,325.62,263.1049136751345,819.67,840.6079116330037,520.31,632.7978776038998,288.04,250.0642685391098,328.01,287.9179916226146
212,325.11,329.94972026052704,862.72,777.1821161092167,465.56,636.300861542714,322.53,263.1565106547813,334.42,292.37233726876417
213,293.87,261.855595892087,837.91,858.5594690526683,348.85,501.5886835844686,293.21,273.80001077428756,273.62,230.48504420026913
214,353.64,286.0222201158504,752.74,691.9153216976772,403.22,550.5161683365894,301.9,288.0597681037738,310.29,273.8636629784974
215,315.31,268.9804340467909,827.29,766.8176614424057,559.36,762.8436474140686,293.26,269.817183292688,269.16,262.2572675828069
216,300.57,288.10891187188224,847.7,730.5806115686345,379.75,533.7233998055547,356.24,310.8143535939098,325.69,318.3339973989583
217,274.87,241.32951145684606,818.33,733.2498626661992,478.76,584.1843565177007,291.27,272.08773787144474,325.85,322.72246203200666
218,365.09,299.1492970073639,783.08,717.4611582517902,632.9,932.7684224929568,288.49,254.55708573913242,298.88,274.3361543799869
219,276.16,248.43984060532645,817.35,805.7193478501059,463.63,753.2552642365002,365.2,330.4736600699063,386.65,324.2026333946102
