Episodio,Q_learning,SARSA,16_step_SARSA
1,870.8666666666667,495.9,1085.2
2,208.36666666666667,276.53333333333336,966.3666666666667
3,604.5666666666667,346.3,1313.1333333333334
4,320.46666666666664,285.23333333333335,1129.0666666666666
5,494.1,312.4,1152.7666666666667
6,316.5,327.0,1349.4
7,353.8,246.4,1341.9333333333334
8,376.03333333333336,299.8333333333333,1524.7666666666667
9,350.1,250.0,1621.1333333333334
10,348.3333333333333,339.3666666666667,1853.7666666666667
11,300.93333333333334,280.8666666666667,1759.4
12,366.46666666666664,310.1,2579.5333333333333
13,351.76666666666665,261.23333333333335,2477.9666666666667
14,308.6333333333333,278.76666666666665,2501.0666666666666
15,401.56666666666666,228.16666666666666,3060.0
16,259.9,247.86666666666667,2880.266666666667
17,276.0,287.5,2726.1
18,299.43333333333334,270.8,3002.5333333333333
19,264.2,256.93333333333334,3309.266666666667
20,302.1666666666667,246.4,2986.9666666666667
21,269.53333333333336,414.46666666666664,2905.7
22,357.46666666666664,274.56666666666666,3254.0
23,317.06666666666666,301.7,2887.8333333333335
24,259.7,246.23333333333332,3292.7
25,329.7,394.1666666666667,3403.9
26,293.8333333333333,245.13333333333333,3478.766666666667
27,292.43333333333334,235.93333333333334,3603.733333333333
28,302.3333333333333,258.7,3476.0
29,255.96666666666667,330.23333333333335,3178.9
30,303.73333333333335,245.0,3546.0666666666666
31,283.9,187.93333333333334,3118.0
32,309.6333333333333,316.3,3467.4666666666667
33,311.06666666666666,242.46666666666667,2867.3
34,254.0,288.6333333333333,3626.4
35,290.6,238.13333333333333,3685.3333333333335
36,234.83333333333334,187.33333333333334,3097.266666666667
37,271.43333333333334,319.1333333333333,3748.8
38,348.9,412.26666666666665,3570.3
39,244.4,313.9,3423.0333333333333
40,308.9,331.6333333333333,3632.3
41,315.76666666666665,226.66666666666666,2941.6
42,229.16666666666666,220.16666666666666,4037.2
43,267.1666666666667,359.8666666666667,3292.9333333333334
44,269.06666666666666,370.96666666666664,3513.9
45,258.6333333333333,196.83333333333334,3165.233333333333
46,250.63333333333333,262.03333333333336,3904.3
47,393.6666666666667,312.8333333333333,3321.1
48,314.8,324.56666666666666,3543.733333333333
49,267.96666666666664,253.56666666666666,3310.3333333333335
50,366.9,270.56666666666666,3480.266666666667
51,311.5,236.0,3813.8333333333335
52,315.03333333333336,256.8666666666667,3132.866666666667
53,406.7,252.2,3560.0333333333333
54,290.56666666666666,243.36666666666667,3559.6666666666665
55,320.43333333333334,276.23333333333335,3356.233333333333
56,397.7,250.83333333333334,3531.0
57,261.76666666666665,255.66666666666666,3358.1666666666665
58,288.3666666666667,320.9,2913.866666666667
59,385.53333333333336,315.6333333333333,3317.7
60,280.73333333333335,299.8333333333333,3137.2
61,344.0,390.03333333333336,3475.0333333333333
62,443.1333333333333,455.26666666666665,3257.5
63,254.06666666666666,227.73333333333332,3062.866666666667
64,379.1333333333333,226.86666666666667,3624.5
65,369.0,267.3,2799.5333333333333
66,341.8666666666667,220.06666666666666,3392.3
67,344.03333333333336,327.43333333333334,3443.266666666667
68,415.43333333333334,264.3,3369.233333333333
69,458.7,252.8,3803.5333333333333
70,340.8333333333333,227.0,3320.8
71,349.73333333333335,273.26666666666665,3633.5333333333333
72,428.8333333333333,262.7,2925.9
73,420.26666666666665,343.2,3408.0666666666666
74,372.26666666666665,367.56666666666666,3603.9666666666667
75,315.9,305.6666666666667,2869.8333333333335
76,352.1,257.93333333333334,3381.9
77,381.6,245.06666666666666,3115.8333333333335
78,354.2,234.7,3412.266666666667
79,359.9,308.5,3375.9333333333334
80,371.93333333333334,280.56666666666666,3224.3
81,287.8666666666667,330.0,3001.5
82,343.53333333333336,215.53333333333333,3894.4
83,384.8,231.13333333333333,3427.8333333333335
84,371.5,332.0,2831.6666666666665
85,332.8666666666667,389.8666666666667,3514.4666666666667
86,405.3333333333333,346.56666666666666,3548.233333333333
87,352.73333333333335,323.56666666666666,3409.5666666666666
88,442.03333333333336,299.6333333333333,3334.5333333333333
89,385.43333333333334,297.3666666666667,3603.4333333333334
90,380.06666666666666,262.9,3231.4333333333334
91,391.96666666666664,268.73333333333335,3431.8333333333335
92,334.9,223.36666666666667,3488.5666666666666
93,388.03333333333336,284.6666666666667,3573.1666666666665
94,397.8,331.7,3276.5333333333333
95,354.9,291.93333333333334,3217.0
96,373.6333333333333,304.3,3535.133333333333
97,370.5,289.6333333333333,3190.1
98,398.6666666666667,357.76666666666665,3501.633333333333
99,438.9,235.56666666666666,3387.1666666666665
100,335.23333333333335,312.23333333333335,3396.133333333333
101,398.93333333333334,385.93333333333334,3761.6
102,360.76666666666665,280.56666666666666,3097.9666666666667
103,435.1,272.53333333333336,3263.733333333333
104,418.3333333333333,356.3,2589.5333333333333
105,389.1666666666667,263.3333333333333,3300.633333333333
106,459.1,283.23333333333335,3159.0666666666666
107,416.9,306.1666666666667,2833.6
108,430.96666666666664,296.1,3031.633333333333
109,487.8666666666667,337.23333333333335,3466.4
110,509.6666666666667,355.06666666666666,3073.4666666666667
111,515.3333333333334,287.6,3276.1
112,424.26666666666665,382.93333333333334,2859.266666666667
113,440.6,249.2,3319.2
114,428.06666666666666,327.3,3382.8333333333335
115,480.73333333333335,238.43333333333334,3526.266666666667
116,479.5,367.93333333333334,2793.5
117,486.1666666666667,262.5,3594.5333333333333
118,498.56666666666666,356.26666666666665,3097.866666666667
119,429.23333333333335,375.3333333333333,3765.366666666667
120,509.1666666666667,309.5,3602.0666666666666
121,390.6666666666667,333.96666666666664,3557.4666666666667
122,659.2666666666667,412.56666666666666,3262.133333333333
123,524.7666666666667,371.5,3369.5666666666666
124,477.76666666666665,356.0,2921.633333333333
125,536.8333333333334,332.7,3317.633333333333
126,539.0,312.23333333333335,3440.4333333333334
127,469.8333333333333,303.5,3018.3333333333335
128,537.6333333333333,276.0,2920.866666666667
129,498.46666666666664,378.7,3335.9666666666667
130,554.5666666666667,364.76666666666665,3160.4666666666667
131,631.1666666666666,352.1666666666667,3128.1666666666665
132,504.8666666666667,271.4,3503.1666666666665
133,486.9,416.2,3226.133333333333
134,472.8333333333333,363.9,3673.766666666667
135,563.5333333333333,366.7,3434.9
136,542.7,303.6666666666667,3544.366666666667
137,622.1666666666666,406.96666666666664,3706.6
138,499.6,352.73333333333335,3259.0
139,552.2666666666667,309.23333333333335,3454.5
140,531.5333333333333,367.5,3587.0333333333333
141,521.1333333333333,333.23333333333335,3396.3
142,633.4666666666667,459.4,3417.866666666667
143,565.9,353.46666666666664,3567.133333333333
144,572.2333333333333,439.6333333333333,2950.9333333333334
145,599.6,375.3666666666667,3826.1666666666665
146,540.4,304.93333333333334,3240.133333333333
147,619.2666666666667,438.1,3304.133333333333
148,590.3,465.93333333333334,3297.9
149,561.6666666666666,270.26666666666665,3754.4
150,572.5333333333333,432.5,3312.633333333333
151,634.4333333333333,381.1333333333333,3913.5666666666666
152,648.0666666666667,393.8,3105.266666666667
153,606.1,363.3666666666667,3363.766666666667
154,618.4666666666667,453.8,3216.4
155,604.8,404.43333333333334,3631.866666666667
156,627.2333333333333,390.1,3562.1
157,626.4,338.3666666666667,3330.133333333333
158,610.3333333333334,377.8,3600.5666666666666
159,669.1666666666666,395.73333333333335,3242.8
160,590.5666666666667,387.56666666666666,3804.8333333333335
161,573.7333333333333,463.6333333333333,3435.0666666666666
162,789.7666666666667,446.76666666666665,3282.3333333333335
163,610.3666666666667,435.93333333333334,3345.233333333333
164,705.5666666666667,354.8,3156.5
165,716.3333333333334,421.7,2985.3
166,657.5,417.56666666666666,3177.7
167,720.8333333333334,436.2,3105.133333333333
168,698.9666666666667,364.8333333333333,2906.1
169,745.0666666666667,459.2,2862.6666666666665
170,648.4,344.7,3484.9666666666667
171,738.0,442.46666666666664,2957.5666666666666
172,709.5,327.2,3241.4
173,755.7333333333333,423.6,3231.1666666666665
174,713.8333333333334,400.53333333333336,2822.5333333333333
175,647.5333333333333,391.56666666666666,3579.633333333333
176,740.7333333333333,396.8333333333333,3830.8
177,778.4666666666667,455.5,3238.0333333333333
178,687.7666666666667,286.23333333333335,3355.233333333333
179,810.3333333333334,514.6,2761.8333333333335
180,727.9333333333333,443.7,4006.233333333333
181,724.1333333333333,337.46666666666664,3189.266666666667
182,782.3,485.46666666666664,3215.2
183,741.5666666666667,339.0,3530.9666666666667
184,764.0,477.56666666666666,3160.2
185,790.6,396.8666666666667,3828.233333333333
186,761.0,517.2,2691.6
187,796.7,483.43333333333334,3361.1666666666665
188,788.0666666666667,417.1666666666667,3326.4666666666667
189,679.7666666666667,443.73333333333335,2877.5666666666666
