Episodio,Q-learning,Sarsa (1-step),Sarsa (8-step),Multi-goal Q-learning,Multi-goal Sarsa
124,522.45,901.68,588.82,492.91,335.28
125,414.4,710.26,625.66,437.77,379.81
126,364.88,730.3,677.85,360.87,436.59
127,383.46,984.71,677.5,395.56,411.19
128,384.23,763.69,670.94,404.95,457.9
129,367.03,860.39,630.37,408.86,433.64
130,402.17,921.68,677.33,427.1,408.72
131,341.16,877.34,616.19,394.66,401.98
132,379.52,794.8,597.23,364.75,377.85
133,410.6,998.9,544.06,381.93,390.13
134,356.77,879.6,424.55,401.7,425.21
135,379.3,750.14,655.56,490.12,411.9
136,381.6,858.78,520.26,369.29,429.73
137,455.24,782.96,620.43,414.97,428.74
138,487.38,852.54,523.51,369.66,360.05
139,387.84,758.15,569.68,417.85,388.09
140,448.5,797.9,438.52,348.46,428.57
141,372.65,798.2,502.11,413.18,366.34
142,411.56,883.29,568.41,404.61,406.47
143,413.41,712.63,634.06,392.57,359.68
144,410.38,1090.05,739.04,368.88,443.7
145,389.85,880.12,644.04,371.45,388.82
146,377.98,853.15,639.66,418.11,402.43
147,396.64,866.42,505.21,375.76,450.63
148,366.95,848.04,480.2,430.35,364.93
149,405.35,762.89,510.83,394.37,374.95
150,432.77,860.75,532.02,384.45,377.42
151,493.24,1018.01,590.91,388.05,332.41
152,405.52,752.43,508.51,392.69,382.65
153,409.07,924.33,507.65,405.86,418.85
154,374.37,812.53,508.79,341.72,449.18
155,411.67,868.94,452.4,385.22,349.17
156,379.55,910.85,571.42,403.95,400.46
157,390.78,903.89,522.08,340.59,397.91
158,373.84,897.5,412.43,343.51,342.77
159,375.48,811.56,541.43,391.43,326.56
160,325.45,990.42,600.28,337.97,413.03
161,373.09,851.03,383.86,333.44,374.87
162,328.49,955.47,489.46,411.59,333.06
163,354.56,834.66,602.67,300.57,402.44
164,360.01,793.62,441.94,346.24,403.42
165,317.52,905.68,459.92,349.12,325.36
166,347.99,892.55,464.0,394.2,373.95
167,353.52,938.96,507.06,299.84,310.71
168,363.78,734.5,473.72,358.68,318.66
169,371.11,731.46,590.06,416.89,375.82
170,351.46,962.64,512.09,387.17,305.91
171,368.45,852.17,500.76,328.49,341.48
172,369.63,909.86,437.49,328.36,317.91
173,349.85,743.51,426.77,349.45,349.26
174,368.88,730.92,477.0,349.27,354.44
175,313.59,896.23,480.85,331.73,363.44
176,370.23,745.27,358.01,350.28,319.08
177,369.03,1000.62,567.52,340.44,309.39
178,390.04,868.77,439.8,366.13,382.03
179,363.66,811.56,513.0,351.92,416.7
180,313.02,889.9,449.64,328.37,395.7
181,377.11,997.43,491.68,402.17,346.66
182,342.36,924.78,562.29,329.83,364.41
183,293.31,859.33,490.83,356.03,353.63
184,356.9,826.89,598.16,373.29,297.81
185,403.68,767.13,440.6,320.41,400.12
186,401.0,909.2,517.89,313.98,349.79
187,350.3,929.29,492.58,308.78,318.38
188,341.33,810.47,511.2,337.52,424.19
189,320.85,1009.78,483.34,344.39,304.63
190,289.85,928.74,436.64,362.14,364.58
191,322.01,838.78,451.24,342.79,342.56
192,347.38,698.96,404.21,373.28,302.54
